,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.21,0.39,0.34,0.4,0.29,0.38,0.33,0.97,0.39,0.3,0.42,0.17,0.48,0.38,0.3,0.13,0.19,0.2
bacula.csv,0.99,0.63,0.55,0.48,0.38,0.64,0.53,0.47,0.57,0.47,0.81,0.57,0.74,0.42,0.53,0.38,0.09,0.24
blue-c.csv,0.7,0.67,0.48,0.62,0.36,0.68,1.0,0.43,0.49,0.49,0.86,0.52,0.71,0.45,0.24,0.09,0.1,0.18
enlightenment.csv,0.67,0.65,0.56,0.42,0.44,0.98,0.67,0.51,0.53,0.48,0.69,0.52,0.68,0.47,0.45,0.26,0.11,0.26
fltk.csv,0.63,0.99,0.49,0.59,0.31,0.47,0.49,0.46,0.52,0.5,0.64,0.49,0.7,0.5,0.44,0.33,0.1,0.26
freewrl.csv,0.7,0.61,0.7,0.51,0.31,0.52,0.5,0.47,0.56,0.49,0.72,0.92,0.62,0.47,0.51,0.33,0.13,0.21
genecys.csv,0.79,0.69,0.76,0.56,0.41,0.66,0.77,0.52,0.69,0.51,1.0,0.62,0.74,0.43,0.56,0.24,0.08,0.2
genoviz.csv,0.0,0.04,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.0
gzigzag.csv,0.72,0.39,0.4,0.32,0.98,0.53,0.42,0.35,0.55,0.45,0.62,0.53,0.5,0.45,0.34,0.0,0.13,0.33
jparsec.csv,0.66,0.52,0.4,0.58,0.33,0.58,0.43,0.49,0.6,0.5,0.73,0.0,0.52,0.48,1.0,0.34,0.08,0.25
lportal.csv,0.34,0.43,0.36,0.0,0.25,0.41,0.27,0.14,0.27,0.42,0.2,0.35,0.05,0.24,0.0,0.08,0.94,0.17
ogrehg.csv,0.64,0.63,0.67,0.37,0.39,0.55,0.28,0.45,0.58,0.99,0.8,0.45,0.67,0.44,0.36,0.18,0.13,0.35
patterntesting.csv,0.67,0.61,0.38,0.97,0.33,0.69,0.64,0.53,0.66,0.57,0.67,0.59,0.68,0.54,0.3,0.33,0.13,0.28
pfaedit.csv,0.48,0.33,0.98,0.44,0.38,0.53,0.28,0.45,0.54,0.46,0.6,0.42,0.52,0.4,0.53,0.33,0.08,0.25
pgui.csv,0.45,0.28,0.55,0.26,0.37,0.46,0.26,0.49,0.39,0.43,0.66,0.62,0.28,0.98,0.34,0.1,0.09,0.22
roller.csv,0.71,0.52,0.4,0.52,0.46,0.39,0.65,0.51,0.53,0.52,0.72,0.13,0.99,0.48,0.38,0.22,0.16,0.18
sylpheed-claws.csv,0.6,0.36,0.63,0.47,0.42,0.52,0.44,0.36,0.96,0.52,0.57,0.5,0.48,0.49,0.42,0.24,0.14,0.28
xbg.csv,0.06,0.3,0.0,0.16,0.15,0.01,0.22,0.0,0.3,0.39,0.09,0.07,0.19,0.08,0.0,1.0,0.13,0.11
