,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.5,0.56,0.4,0.55,0.35,0.41,0.12,0.21,0.64,0.32,0.98,0.11,0.42,0.6,0.64,0.36
arcallians.csv,0.35,0.58,0.63,0.63,0.48,0.97,0.15,0.17,0.44,0.32,0.43,0.06,0.35,0.38,0.56,0.39
arianne.csv,0.99,0.6,0.78,0.77,0.45,0.58,0.18,0.24,0.61,0.36,0.51,0.05,0.35,0.51,0.59,0.46
aztec.csv,0.55,0.02,0.0,0.21,0.11,0.29,0.96,0.12,0.45,0.19,0.44,0.08,0.0,0.0,0.45,0.25
biopax.csv,0.65,0.64,0.77,0.64,0.51,0.67,0.16,0.2,0.62,0.34,0.73,0.09,0.38,0.57,0.97,0.41
bl-toolkit.csv,0.54,0.54,1.0,0.68,0.61,0.64,0.24,0.31,0.63,0.32,0.77,0.0,0.43,0.57,0.57,0.58
gnupdate.csv,0.42,0.56,0.14,0.41,0.47,0.61,0.22,0.45,0.56,0.9,0.46,0.0,0.36,0.53,0.54,0.41
les-indemodables.csv,0.31,0.49,0.47,0.62,0.26,0.53,0.08,0.26,0.67,0.22,0.58,0.07,0.37,0.96,0.26,0.37
ng4j.csv,0.33,0.59,0.65,0.73,0.61,0.63,0.04,0.2,0.56,0.32,0.65,0.08,0.43,0.53,0.7,1.0
openxava.csv,0.53,0.46,0.38,0.65,0.13,0.1,0.06,1.0,0.4,0.16,0.63,0.1,0.42,0.56,0.32,0.3
phonon-vlc-mplayer.csv,0.54,0.59,0.75,0.71,0.99,0.63,0.12,0.24,0.48,0.32,0.39,0.03,0.33,0.56,0.71,0.33
qgis.csv,0.42,0.99,0.3,0.46,0.53,0.53,0.13,0.21,0.61,0.51,0.45,0.1,0.39,0.48,0.62,0.36
rsyslog.csv,0.45,0.55,0.56,0.94,0.59,0.64,0.09,0.4,0.59,0.57,0.41,0.07,0.29,0.54,0.48,0.54
vars-redux.csv,0.34,0.29,0.27,0.38,0.2,0.42,0.27,0.31,0.98,0.22,0.46,0.1,0.22,0.6,0.38,0.37
xapian.csv,0.5,0.56,0.69,0.63,0.56,0.61,0.08,0.18,0.55,0.35,0.68,0.06,0.94,0.55,0.71,0.35
xqilla.csv,0.0,0.07,0.04,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0,0.0
