,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,1.0,4.0,2.0,13.0,24.0,5.0,0.0,0.0,17.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,13.0
delphilhlplib.csv,4.0,0.0,1.0,10.0,14.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,24.0
exordium.csv,4.0,1.0,2.0,6.0,12.0,1.0,0.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,4.0,0.0,8.0
fltk.csv,2.0,0.0,2.0,3.0,32.0,4.0,0.0,0.0,10.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,15.0
genoviz.csv,3.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,360.0,0.0,0.0,0.0,2.0,0.0,0.0
gzigzag.csv,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,14.0,2.0,15.0
irrlicht.csv,6.0,1.0,3.0,14.0,1.0,6.0,0.0,0.0,7.0,1.0,15.0,3.0,1.0,2.0,828.0,0.0,28.0
moast.csv,1.0,7.0,2.0,7.0,7.0,6.0,0.0,0.0,7.0,20.0,17.0,0.0,8.0,0.0,20.0,0.0,15.0
mptvseries.csv,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
openfrag.csv,3.0,1.0,3.0,6.0,17.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,24.0
qse.csv,0.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,24.0
sauerbraten.csv,3.0,0.0,3.0,13.0,1.0,6.0,0.0,0.0,7.0,1.0,22.0,2.0,1.0,0.0,38.0,0.0,24.0
toped.csv,5.0,1.0,3.0,14.0,1.0,6.0,0.0,0.0,7.0,1.0,15.0,2.0,1.0,2.0,39.0,0.0,27.0
truevision.csv,3.0,1.0,1.0,11.0,9.0,2.0,0.0,0.0,81.0,0.0,7.0,1.0,0.0,2.0,5.0,0.0,17.0
uwom.csv,2.0,1.0,2.0,8.0,5.0,6.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,4.0,0.0,18.0
zoolib.csv,2.0,1.0,1.0,8.0,20.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,2.0,1.0,0.0,15.0
zxing.csv,2.0,1.0,1.0,2.0,16.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,12.0
