,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.71,0.7,0.58,0.32,0.28,0.4,0.93,0.76,0.46,0.45,0.1,0.62,0.8,0.95,0.48,0.82,0.12
delphilhlplib.csv,0.65,0.9,0.79,0.35,0.29,0.71,0.92,0.83,1.0,0.65,0.2,0.83,0.66,0.93,0.35,0.95,0.11
exordium.csv,0.65,0.85,0.76,0.5,0.27,0.7,0.91,0.83,0.93,0.62,0.17,0.81,0.71,0.92,0.4,0.85,0.21
fltk.csv,0.69,0.81,0.77,0.38,0.24,0.47,0.93,0.81,0.57,0.59,0.2,0.77,0.74,0.91,0.46,0.82,0.18
genoviz.csv,0.72,0.8,0.93,0.8,0.37,0.5,1.0,0.82,1.0,0.83,0.0,0.91,0.88,0.96,0.59,1.0,0.71
gzigzag.csv,0.74,0.84,0.74,0.59,0.33,0.57,0.86,0.85,1.0,0.67,0.11,0.88,0.67,0.68,0.38,0.75,0.08
irrlicht.csv,0.62,0.75,0.57,0.25,0.24,0.38,0.85,0.82,0.43,0.35,0.08,0.55,0.55,0.89,0.0,0.77,0.1
moast.csv,0.56,0.67,0.58,0.29,0.22,0.28,0.85,0.77,0.43,0.27,0.05,0.67,0.26,0.98,0.1,0.73,0.12
mptvseries.csv,0.69,0.8,0.75,0.41,0.38,0.59,0.97,0.83,0.72,0.62,0.27,0.89,0.8,1.0,0.46,0.96,0.23
openfrag.csv,0.67,0.76,0.65,0.38,0.28,0.68,0.92,0.83,0.91,0.55,0.09,0.82,0.78,0.9,0.38,0.93,0.11
qse.csv,0.66,0.75,0.65,0.4,0.26,0.68,0.92,0.81,0.78,0.49,0.14,0.68,0.63,0.9,0.37,0.85,0.09
sauerbraten.csv,0.76,0.67,0.56,0.28,0.28,0.37,0.85,0.76,0.43,0.34,0.08,0.54,0.62,0.94,0.27,0.75,0.03
toped.csv,0.65,0.73,0.59,0.25,0.23,0.43,0.98,0.78,0.46,0.32,0.09,0.59,0.62,0.89,0.29,0.75,0.1
truevision.csv,0.7,0.85,0.74,0.27,0.38,0.65,0.89,0.82,0.0,0.7,0.13,0.73,0.63,0.89,0.32,0.89,0.12
uwom.csv,0.71,0.86,0.67,0.4,0.42,0.47,0.88,0.8,0.88,0.89,0.28,0.91,0.65,0.77,0.48,0.94,0.12
zoolib.csv,0.69,0.78,0.8,0.36,0.26,0.83,0.91,0.82,0.88,0.55,0.21,0.85,0.68,0.9,0.47,0.92,0.13
zxing.csv,0.7,0.68,0.63,0.38,0.27,0.42,0.92,0.82,0.93,0.42,0.08,0.57,0.68,0.61,0.51,0.9,0.16
