,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.0,0.95,1.0,1.0,0.77,1.0,1.0,1.0,0.85,0.95,0.95,1.0,0.95,0.92
jicarilla.csv,1.01,0.89,0.0,0.94,0.86,0.89,1.01,0.91,1.0,0.9,1.01,1.02,1.0,0.87
jmule.csv,0.65,0.81,0.95,0.5,0.62,0.72,0.74,0.77,0.71,0.44,0.67,0.98,0.49,0.04
micomt.csv,0.5,0.9,0.72,0.82,0.8,0.78,0.77,0.77,0.08,0.71,0.7,0.75,0.71,0.88
migen.csv,1.06,0.84,0.85,0.51,0.0,0.68,0.89,0.82,0.7,0.65,0.72,0.84,0.73,0.63
mvnforum.csv,0.58,0.79,0.69,0.94,0.67,0.93,0.11,0.76,1.01,0.73,0.92,1.02,0.42,0.8
ng4j.csv,0.53,0.7,0.9,0.5,0.58,0.71,0.78,0.82,0.49,0.48,0.61,0.95,0.05,0.56
open-data-kit.csv,0.52,0.86,1.01,0.67,0.6,0.7,0.58,0.52,0.92,0.04,0.69,0.81,0.52,0.56
opennms.csv,1.01,0.76,0.59,0.59,0.71,0.07,0.9,0.86,0.88,0.82,0.5,1.06,0.9,0.79
ossim.csv,1.0,0.97,1.0,0.19,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
plplot.csv,0.24,0.63,0.98,0.74,0.55,0.73,0.55,0.14,0.79,0.74,0.59,1.02,0.74,0.8
qedo.csv,1.0,1.0,1.0,0.95,0.94,0.93,1.0,0.95,1.01,0.98,0.84,0.05,1.0,0.93
tradelink.csv,1.0,0.84,1.0,0.73,0.86,0.9,0.89,0.67,0.78,0.86,0.05,1.04,0.9,0.92
wgs-assembler.csv,1.01,0.1,0.99,0.55,0.7,0.79,0.8,0.59,0.79,0.8,0.5,0.95,0.86,0.87
