,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,1.0,0.06,0.0,0.0,0.28,0.0,0.0,0.0,0.18,0.06,0.06,0.0,0.06,0.1
jicarilla.csv,0.0,0.18,1.0,0.07,0.21,0.17,0.0,0.12,0.0,0.17,0.0,0.0,0.17,0.28
jmule.csv,0.52,0.52,0.11,0.74,0.61,0.5,0.49,0.28,0.56,0.67,0.56,0.2,0.59,0.97
micomt.csv,0.55,0.12,0.58,0.23,0.3,0.41,0.48,0.28,0.93,0.58,0.37,0.43,0.5,0.24
migen.csv,0.0,0.21,0.21,0.59,1.0,0.46,0.2,0.22,0.36,0.49,0.41,0.27,0.34,0.46
mvnforum.csv,0.53,0.35,0.38,0.07,0.42,0.09,0.91,0.48,0.0,0.33,0.24,0.11,0.64,0.25
ng4j.csv,0.54,0.4,0.14,0.63,0.51,0.45,0.32,0.23,0.84,0.65,0.55,0.17,0.96,0.51
open-data-kit.csv,0.82,0.18,0.11,0.64,0.62,0.57,0.6,0.63,0.3,0.97,0.52,0.52,0.58,0.51
opennms.csv,0.0,0.32,0.47,0.48,0.34,0.94,0.13,0.17,0.18,0.32,0.57,0.06,0.12,0.29
ossim.csv,0.0,0.04,0.0,0.84,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plplot.csv,0.94,0.59,0.04,0.41,0.6,0.4,0.61,0.88,0.27,0.32,0.55,0.06,0.34,0.25
qedo.csv,0.0,0.0,0.0,0.07,0.07,0.09,0.0,0.06,0.0,0.04,0.24,0.96,0.0,0.1
tradelink.csv,0.0,0.21,0.0,0.35,0.18,0.13,0.13,0.38,0.27,0.17,0.96,0.0,0.12,0.1
wgs-assembler.csv,0.0,0.92,0.04,0.58,0.36,0.29,0.26,0.48,0.4,0.29,0.57,0.17,0.18,0.28
