,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.88,0.05,0.81,0.82,0.71,0.73,0.77,0.58,0.82,0.76,0.79,0.71,0.88
ftm.csv,0.46,0.85,0.56,0.69,0.75,0.7,0.63,0.65,0.72,0.97,0.89,0.08,0.63
google-web-toolkit.csv,0.65,0.93,0.83,0.89,0.61,0.01,0.68,0.58,0.61,0.39,0.7,0.97,0.56
gzigzag.csv,0.8,0.95,0.17,0.9,0.95,0.89,0.97,0.95,1.0,0.92,0.94,0.92,0.88
illumination.csv,0.89,0.62,0.87,0.91,0.94,0.85,0.94,0.7,0.06,1.05,0.78,0.84,0.82
jcache.csv,0.93,0.64,0.74,0.77,0.53,0.7,0.68,0.59,0.74,0.28,0.71,0.79,0.06
moast.csv,0.76,0.67,0.78,0.85,0.95,0.79,0.75,0.71,0.86,0.0,0.71,0.83,0.33
nativeclient.csv,0.64,0.69,0.65,0.84,0.68,0.76,0.79,0.86,0.76,0.91,0.03,0.65,0.46
ns-3-dev-def-routing.csv,0.7,0.89,0.72,0.55,0.68,0.81,0.05,0.67,0.83,0.62,0.87,0.64,0.66
openfrag.csv,0.83,0.84,0.63,0.56,0.05,0.65,0.62,0.69,0.7,0.52,0.82,0.58,0.33
qdvdauthor.csv,0.93,0.91,0.77,0.72,0.75,0.77,0.63,0.03,0.75,0.9,0.72,0.69,1.02
sauerbraten.csv,0.05,0.67,0.52,0.54,0.75,0.73,0.68,0.64,0.86,0.97,0.78,0.62,0.46
zoolib.csv,0.8,0.99,0.83,0.16,0.88,0.84,0.84,0.93,1.0,0.72,0.8,0.7,0.97
