,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.64,0.97,0.32,0.15,0.64,0.55,0.48,0.75,0.21,0.94,0.65,0.6,0.45
ftm.csv,0.69,0.19,0.44,0.18,0.39,0.47,0.46,0.59,0.31,0.23,0.19,0.96,0.49
google-web-toolkit.csv,0.59,0.36,0.23,0.08,0.54,1.0,0.43,0.67,0.37,0.81,0.47,0.06,0.55
gzigzag.csv,0.33,0.09,0.91,0.13,0.09,0.19,0.06,0.09,0.0,0.16,0.11,0.14,0.21
illumination.csv,0.21,0.39,0.2,0.06,0.11,0.26,0.12,0.51,0.94,0.03,0.39,0.26,0.29
jcache.csv,0.7,0.46,0.41,0.12,0.61,0.58,0.47,0.69,0.33,0.96,0.44,0.34,0.96
moast.csv,0.76,0.35,0.41,0.18,0.62,0.58,0.57,0.75,0.28,1.0,0.44,0.64,0.77
nativeclient.csv,0.76,0.37,0.4,0.12,0.71,0.6,0.56,0.76,0.34,0.38,0.99,0.6,0.69
ns-3-dev-def-routing.csv,0.59,0.41,0.32,0.22,0.46,0.33,0.96,0.57,0.19,0.81,0.23,0.6,0.46
openfrag.csv,0.77,0.41,0.38,0.21,0.98,0.59,0.56,0.61,0.33,0.96,0.74,0.58,0.75
qdvdauthor.csv,0.19,0.14,0.26,0.16,0.53,0.38,0.54,0.99,0.26,0.24,0.57,0.5,0.27
sauerbraten.csv,0.97,0.36,0.46,0.25,0.39,0.45,0.42,0.53,0.17,0.15,0.35,0.5,0.66
zoolib.csv,0.33,0.02,0.26,0.91,0.21,0.27,0.25,0.2,0.0,0.44,0.34,0.43,0.06
