,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.58,1.0,0.21,0.08,0.58,0.57,0.38,0.75,0.15,0.91,0.59,0.49,0.38
ftm.csv,0.82,0.18,0.41,0.12,0.77,0.63,0.49,0.71,0.33,0.7,0.76,1.0,0.68
google-web-toolkit.csv,0.66,0.23,0.33,0.06,0.69,0.99,0.42,0.75,0.26,0.96,0.63,1.0,0.67
gzigzag.csv,0.89,0.26,1.0,0.21,1.0,0.64,0.27,0.67,0.0,0.91,0.69,0.42,0.8
illumination.csv,0.56,0.3,0.36,0.04,0.57,0.72,0.27,0.7,0.94,0.27,0.56,0.59,0.75
jcache.csv,0.6,0.31,0.27,0.07,0.73,0.59,0.41,0.74,0.21,0.96,0.73,0.44,0.97
moast.csv,0.66,0.33,0.27,0.1,0.51,0.56,0.43,0.71,0.18,1.0,0.68,0.49,0.71
nativeclient.csv,0.69,0.26,0.28,0.07,0.62,0.57,0.42,0.68,0.22,0.79,0.98,0.51,0.61
ns-3-dev-def-routing.csv,0.63,0.26,0.32,0.14,0.68,0.56,0.98,0.7,0.16,0.91,0.55,0.52,0.67
openfrag.csv,0.65,0.27,0.28,0.13,1.0,0.62,0.46,0.69,0.22,0.94,0.62,0.55,0.8
qdvdauthor.csv,0.38,0.35,0.21,0.09,0.53,0.58,0.45,1.0,0.19,0.8,0.58,0.47,0.25
sauerbraten.csv,1.0,0.27,0.39,0.17,0.61,0.6,0.5,0.8,0.16,0.68,0.79,0.56,0.79
zoolib.csv,0.8,0.21,0.5,1.0,0.67,0.74,0.5,0.45,0.0,0.98,0.57,0.52,1.0
