,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.55,0.69,0.58,0.61,0.48,0.59,0.09,0.2,0.63,0.35,0.7,0.1,0.45,0.57,0.66,0.43
arcallians.csv,0.59,0.63,0.79,0.65,0.63,0.75,0.14,0.18,0.52,0.38,0.38,0.05,0.44,0.54,0.86,0.46
arianne.csv,0.71,0.65,0.82,0.68,0.44,0.68,0.2,0.17,0.62,0.32,0.77,0.05,0.44,0.53,0.82,0.43
aztec.csv,0.36,0.61,0.51,0.69,0.58,0.65,0.39,0.25,0.52,0.4,0.62,0.09,0.33,0.59,0.43,0.46
biopax.csv,0.66,0.67,0.82,0.71,0.43,0.7,0.14,0.2,0.59,0.33,0.72,0.05,0.35,0.54,0.9,0.4
bl-toolkit.csv,0.61,0.53,0.83,0.68,0.27,0.69,0.14,0.23,0.55,0.32,0.77,0.0,0.34,0.53,0.47,0.39
gnupdate.csv,0.58,0.57,0.3,0.64,0.57,0.65,0.13,0.14,0.62,0.64,0.6,0.0,0.25,0.5,0.63,0.46
les-indemodables.csv,0.6,0.57,0.79,0.72,0.4,0.55,0.15,0.21,0.5,0.27,0.54,0.03,0.42,0.63,0.66,0.26
ng4j.csv,0.46,0.58,0.49,0.65,0.68,0.67,0.21,0.2,0.6,0.58,0.54,0.08,0.31,0.54,0.52,0.58
openxava.csv,0.5,0.49,0.24,0.56,0.05,0.19,0.09,0.35,0.44,0.22,0.6,0.17,0.4,0.48,0.24,0.29
phonon-vlc-mplayer.csv,0.57,0.57,0.79,0.72,0.71,0.73,0.22,0.17,0.65,0.42,0.62,0.06,0.49,0.56,0.63,0.6
qgis.csv,0.39,0.64,0.24,0.0,0.58,0.52,0.05,0.15,0.55,0.0,0.0,0.07,0.47,0.57,0.76,0.4
rsyslog.csv,0.62,0.69,0.28,0.68,0.42,0.65,0.08,0.16,0.56,0.38,0.59,0.05,0.4,0.65,0.38,0.22
vars-redux.csv,0.65,0.6,0.81,0.68,0.48,0.67,0.28,0.2,0.69,0.22,0.47,0.05,0.43,0.54,0.66,0.4
xapian.csv,0.69,0.65,0.78,0.7,0.57,0.73,0.13,0.13,0.6,0.36,0.56,0.05,0.55,0.41,0.85,0.41
xqilla.csv,0.44,0.24,0.15,0.07,0.07,0.39,0.08,0.22,0.35,0.09,0.52,0.46,0.21,0.05,0.2,0.12
