,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.52,0.47,0.62,0.55,0.55,0.53,0.54,0.48,0.37,0.46,0.48,0.48,0.64,0.48,0.63,0.82
arcallians.csv,0.48,0.44,0.51,0.57,0.66,0.59,0.43,0.49,0.4,0.94,0.74,0.74,0.56,0.51,0.42,0.6
arianne.csv,0.48,0.42,0.42,0.52,0.5,0.48,0.55,0.48,0.37,0.46,0.38,0.39,0.61,0.49,0.44,0.44
aztec.csv,0.7,0.47,0.64,0.53,0.81,0.48,0.8,0.36,0.53,0.41,0.43,0.6,0.9,0.5,0.58,0.53
biopax.csv,0.37,0.41,0.42,0.53,0.47,0.49,0.43,0.49,0.35,0.46,0.37,0.39,0.38,0.48,0.52,0.39
bl-toolkit.csv,0.41,0.47,0.45,0.52,0.65,0.48,0.44,0.37,0.39,0.46,0.38,0.97,0.41,0.48,0.54,0.4
gnupdate.csv,0.51,0.47,0.9,0.63,0.59,0.48,0.44,0.42,0.39,0.67,0.59,0.67,0.67,0.48,0.6,0.51
les-indemodables.csv,0.44,0.43,0.44,0.5,0.46,0.44,0.44,0.5,0.57,0.38,0.46,0.33,0.39,0.54,0.49,0.57
ng4j.csv,0.68,0.51,0.7,0.58,0.76,0.46,0.93,0.38,0.39,0.59,0.57,0.52,0.72,0.48,0.72,0.57
openxava.csv,0.52,0.5,0.89,0.46,0.56,0.88,0.4,0.41,0.54,0.38,0.42,0.52,0.45,0.57,0.86,0.45
phonon-vlc-mplayer.csv,0.61,0.53,0.48,0.53,0.85,0.56,0.97,0.42,0.38,0.54,0.47,0.62,0.7,0.49,0.64,0.64
qgis.csv,0.82,0.52,0.94,0.0,0.73,0.62,0.94,0.52,0.62,0.0,0.0,0.42,0.59,0.51,0.69,0.84
rsyslog.csv,0.46,0.4,0.67,0.54,0.48,0.51,0.45,0.49,0.39,0.68,0.46,0.41,0.41,0.51,0.79,0.71
vars-redux.csv,0.44,0.51,0.42,0.52,0.49,0.42,0.73,0.48,0.44,0.51,0.58,0.39,0.45,0.49,0.6,0.57
xapian.csv,0.46,0.45,0.48,0.53,0.65,0.55,0.45,0.53,0.38,0.72,0.54,0.39,0.7,0.64,0.5,0.48
xqilla.csv,0.58,0.97,0.8,0.0,0.62,0.63,0.44,0.5,0.71,0.74,0.6,0.9,0.55,0.0,0.94,0.63
