,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.6,0.44,0.6,0.52,0.53,0.55,0.82,0.98,0.79,0.68,0.52,0.45,0.52,0.56,0.5,0.62
arcallians.csv,0.65,0.58,0.5,0.48,0.35,0.37,1.0,0.96,0.67,0.66,0.78,0.73,0.53,0.73,0.85,0.57
arianne.csv,0.4,0.92,1.0,1.0,0.87,1.0,0.61,0.97,0.74,1.0,1.0,1.0,0.51,0.95,0.72,0.83
aztec.csv,0.78,0.67,0.68,0.55,0.48,0.71,0.25,0.56,0.6,0.59,0.68,0.47,0.77,0.48,0.75,0.52
biopax.csv,0.98,0.83,1.0,0.88,0.96,0.95,1.0,0.97,1.0,0.93,0.75,1.0,0.93,0.95,0.18,1.0
bl-toolkit.csv,0.74,0.99,0.3,1.0,0.9,1.0,0.97,0.6,0.81,1.0,1.0,1.04,1.0,1.0,0.91,1.0
gnupdate.csv,0.59,0.77,0.82,0.54,0.4,0.71,0.96,0.79,0.72,0.26,0.61,1.0,0.78,0.73,0.57,0.59
les-indemodables.csv,0.65,0.57,0.91,0.4,0.62,0.62,0.65,0.89,0.62,0.72,0.72,0.84,0.58,0.43,0.58,0.83
ng4j.csv,0.68,0.61,0.67,0.51,0.31,0.57,0.83,0.67,0.71,0.3,0.64,0.52,0.72,0.73,0.65,0.38
openxava.csv,0.64,0.65,0.86,0.58,1.0,0.89,0.83,0.4,0.67,0.79,0.69,0.26,0.59,0.63,0.88,0.75
phonon-vlc-mplayer.csv,0.56,0.62,0.44,0.64,0.26,0.38,0.75,0.77,0.52,0.56,0.61,0.6,0.55,0.83,0.54,0.35
qgis.csv,0.75,0.48,0.92,1.0,0.42,0.62,0.96,0.94,0.57,1.0,1.0,0.68,0.48,0.68,0.38,0.61
rsyslog.csv,0.63,0.46,0.86,0.45,0.74,0.49,0.94,1.0,0.81,0.59,0.6,0.94,0.68,0.4,0.77,0.83
vars-redux.csv,0.59,0.52,0.96,0.59,0.64,0.74,0.47,0.8,0.43,0.82,0.69,1.0,0.56,0.94,0.51,0.61
xapian.csv,0.58,0.8,0.74,0.83,0.5,0.73,0.96,0.96,0.88,0.58,0.65,1.0,0.4,0.88,0.57,0.79
xqilla.csv,0.83,0.86,0.92,0.96,1.0,0.84,0.91,0.88,0.8,0.93,0.64,0.06,0.87,0.97,0.96,0.97
