,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.84,0.78,0.05,0.36,0.59,1.0,0.06,0.36,0.79,1.0,0.77,0.67
delphilhlplib.csv,1.0,0.72,0.2,0.39,0.83,0.94,0.07,0.4,1.0,0.12,0.69,0.58
factor.csv,0.83,1.0,0.11,0.0,1.0,1.0,0.06,0.33,1.0,0.5,1.0,0.58
fceugc.csv,0.87,0.63,0.2,1.0,0.5,1.0,0.06,0.0,0.89,0.67,0.55,0.4
fltk.csv,0.81,0.94,0.13,0.64,0.74,1.0,0.05,0.31,1.0,0.44,0.93,0.59
jstock.csv,0.96,0.81,0.15,0.44,0.8,0.93,0.05,1.0,1.0,0.12,0.92,0.6
lportal.csv,0.52,0.5,0.15,0.32,0.32,0.98,0.98,0.22,0.62,0.14,0.44,0.25
natpad.csv,0.74,0.69,0.12,0.44,0.75,0.89,0.06,0.43,0.77,0.14,0.85,0.98
ogre.csv,0.75,0.57,0.24,0.32,0.36,1.0,0.04,0.22,0.75,0.14,0.65,0.4
phet.csv,0.68,0.57,1.0,0.28,0.18,0.99,0.03,0.21,0.71,0.14,0.67,0.17
sandiaportals.csv,0.75,0.66,0.19,0.4,0.52,0.96,0.04,0.18,1.0,0.15,0.76,0.48
sumatrapdf.csv,0.75,0.62,0.14,0.38,1.0,0.96,0.04,0.21,0.92,0.28,0.86,0.43
