,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.44,0.64,0.04,0.42,0.37,0.23,0.45,0.35,0.25,1.0,0.28,0.32
delphilhlplib.csv,0.97,0.54,0.45,0.46,0.53,0.17,0.7,0.5,0.16,0.2,0.47,0.53
factor.csv,0.11,0.02,0.01,0.0,0.12,0.02,0.24,0.1,0.23,0.1,0.98,0.38
fceugc.csv,0.29,0.34,0.14,0.96,0.3,0.48,0.4,0.0,0.35,0.38,0.18,0.22
fltk.csv,0.5,0.91,0.2,0.38,0.5,0.13,0.66,0.35,0.53,0.62,0.39,0.51
jstock.csv,0.56,0.12,0.12,0.23,0.16,0.13,0.2,0.93,0.41,0.1,0.34,0.09
lportal.csv,0.26,0.45,0.07,0.54,0.41,0.0,0.82,0.47,0.32,0.44,0.23,0.34
natpad.csv,0.54,0.55,0.11,0.42,0.44,0.0,0.63,0.27,0.46,0.44,0.72,0.96
ogre.csv,0.24,0.32,0.05,0.09,0.0,1.0,0.13,0.0,0.0,0.0,0.17,0.0
phet.csv,0.41,0.51,0.94,0.36,0.22,0.8,0.14,0.41,0.0,0.44,0.6,0.21
sandiaportals.csv,0.53,0.7,0.45,0.66,0.75,0.0,0.0,0.43,1.0,0.54,0.57,0.67
sumatrapdf.csv,0.0,0.59,0.29,0.62,0.98,0.0,0.05,0.35,0.65,0.73,0.63,0.49
