,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.76,0.61,0.97,0.86,0.82,0.98,0.76,0.91,0.86,0.92,0.92,0.72
delphilhlplib.csv,0.41,0.63,0.51,0.65,0.83,0.89,0.51,0.67,0.86,0.81,0.62,0.5
factor.csv,0.83,0.67,0.89,0.0,0.67,0.75,0.97,0.67,0.9,0.5,0.5,0.71
fceugc.csv,0.73,0.83,0.98,0.65,0.94,0.71,0.86,0.8,0.67,0.83,0.91,0.9
fltk.csv,0.55,0.53,0.63,0.91,0.79,0.96,0.46,0.77,0.52,0.88,0.67,0.5
jstock.csv,0.54,0.94,0.96,0.89,0.8,0.96,1.0,0.83,0.74,0.88,0.77,0.8
lportal.csv,0.78,0.69,0.96,0.56,0.68,0.53,0.99,0.59,0.92,0.74,0.94,0.72
natpad.csv,0.48,0.6,0.94,0.72,0.94,0.89,0.58,0.86,0.53,0.47,0.59,0.55
ogre.csv,0.4,0.46,0.36,0.4,0.34,0.43,0.39,0.33,0.39,0.34,0.42,0.43
phet.csv,0.71,0.49,0.98,0.45,0.44,0.44,1.0,0.36,0.44,0.66,0.53,0.81
sandiaportals.csv,0.4,0.45,0.39,0.47,0.46,0.59,0.38,0.38,0.43,0.35,0.52,0.47
sumatrapdf.csv,0.38,0.43,0.48,0.49,0.63,0.64,0.39,0.58,0.5,0.47,0.64,0.45
