,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.64,0.45,0.99,0.7,0.69,0.81,0.66,0.71,0.81,0.0,0.77,0.73
delphilhlplib.csv,0.04,0.56,0.8,0.66,0.52,0.98,0.52,0.58,0.87,0.86,0.66,0.56
factor.csv,0.91,0.98,0.99,1.0,0.9,0.98,0.82,0.92,0.81,0.92,0.02,0.69
fceugc.csv,0.76,0.74,0.9,0.05,0.76,0.58,0.69,1.01,0.71,0.67,0.88,0.84
fltk.csv,0.62,0.12,0.9,0.67,0.56,0.89,0.69,0.72,0.53,0.44,0.66,0.58
jstock.csv,0.49,0.9,0.92,0.82,0.87,1.02,0.84,0.08,0.64,0.92,0.71,0.93
lportal.csv,1.03,0.82,0.95,0.75,0.76,1.02,0.21,0.73,0.89,0.72,0.91,0.98
natpad.csv,0.76,0.57,0.93,0.66,0.62,1.32,0.55,0.77,0.69,0.73,0.36,0.05
ogre.csv,0.95,0.92,0.99,0.98,1.0,0.0,0.97,1.0,1.0,1.0,0.96,1.0
phet.csv,0.82,0.82,0.07,0.93,1.11,0.5,0.9,0.89,1.01,0.72,0.72,1.03
sandiaportals.csv,0.8,0.66,0.85,0.61,0.46,1.16,1.0,0.84,0.0,0.71,0.55,0.67
sumatrapdf.csv,1.0,0.77,0.89,0.63,0.03,1.13,0.99,0.78,0.41,0.41,0.45,0.83
