,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.24,0.52,0.0,0.23,0.56,0.06,0.37,0.43,0.38,0.62,0.44,0.02,0.46,0.15
jicarilla.csv,0.0,0.12,0.85,0.0,0.15,0.17,0.0,0.14,0.08,0.07,0.0,0.05,0.05,0.4
jmule.csv,0.07,0.58,0.04,0.14,0.62,0.37,0.39,0.44,0.32,0.82,0.36,0.08,0.56,0.82
micomt.csv,0.06,0.47,0.64,0.12,0.55,0.4,0.47,0.47,0.67,0.72,0.31,0.12,0.49,0.5
migen.csv,0.12,0.24,0.2,0.14,0.64,0.45,0.09,0.31,0.29,0.62,0.3,0.05,0.44,0.15
mvnforum.csv,0.0,0.38,0.33,0.03,0.42,0.15,0.44,0.29,0.36,0.67,0.29,0.06,0.25,0.0
ng4j.csv,0.11,0.51,0.0,0.17,0.54,0.37,0.45,0.53,0.58,0.67,0.33,0.08,0.62,0.73
open-data-kit.csv,0.16,0.56,0.26,0.12,0.57,0.38,0.45,0.47,0.33,0.8,0.41,0.12,0.49,0.63
opennms.csv,0.11,0.47,0.05,0.21,0.38,0.54,0.0,0.11,0.06,0.41,0.0,0.08,0.29,0.67
ossim.csv,0.09,0.44,0.37,0.25,0.39,0.42,0.17,0.21,0.07,0.41,0.15,0.04,0.24,0.61
plplot.csv,0.07,0.51,0.0,0.14,0.58,0.34,0.44,0.64,0.31,0.59,0.37,0.07,0.49,0.14
qedo.csv,0.0,0.04,0.57,0.04,0.34,0.26,0.09,0.16,0.07,0.09,0.0,0.37,0.0,0.39
tradelink.csv,0.05,0.37,0.09,0.02,0.52,0.16,0.52,0.41,0.57,0.59,0.48,0.19,0.41,0.0
wgs-assembler.csv,0.12,0.55,0.05,0.15,0.6,0.28,0.34,0.46,0.34,0.77,0.41,0.02,0.47,0.56
