,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.17,0.73,0.14,0.17,0.3,0.06,0.41,0.09,0.02,0.16,0.08,0.29,0.1,0.0
jicarilla.csv,0.03,0.01,0.24,0.02,0.4,0.0,0.14,0.02,0.61,0.27,0.06,0.07,0.22,0.79
jmule.csv,0.49,0.49,0.32,0.54,0.44,0.78,0.57,0.32,0.78,0.3,0.64,0.48,0.19,0.21
micomt.csv,0.9,0.73,0.76,0.83,0.65,0.87,0.91,0.84,0.17,0.7,0.84,0.89,0.69,0.83
migen.csv,0.25,0.06,0.41,0.27,0.37,0.38,0.16,0.12,0.47,0.43,0.16,0.7,0.15,0.03
mvnforum.csv,0.56,0.41,0.05,0.32,0.26,0.1,0.39,0.84,0.17,0.5,0.12,0.16,0.22,0.0
ng4j.csv,0.72,0.61,0.32,0.63,0.56,0.69,0.77,0.33,0.25,0.3,0.61,0.67,0.32,0.03
open-data-kit.csv,0.32,0.47,0.43,0.63,0.58,0.6,0.64,0.14,0.78,0.18,0.45,0.72,0.53,0.34
opennms.csv,0.15,0.39,0.08,0.15,0.21,0.25,0.14,0.18,0.64,0.41,0.08,0.25,0.22,0.45
ossim.csv,0.31,0.57,0.35,0.27,0.6,0.52,0.36,0.4,0.75,0.25,0.39,0.37,0.42,1.0
plplot.csv,0.77,0.99,0.19,0.28,0.35,0.3,0.27,0.25,0.1,0.16,0.25,0.25,0.15,0.03
qedo.csv,0.23,0.21,0.32,0.35,0.47,0.25,0.16,0.54,0.69,0.11,0.14,0.22,0.25,0.34
tradelink.csv,0.62,0.37,0.41,0.34,0.49,0.34,0.57,0.4,0.03,0.66,0.4,0.4,0.66,0.34
wgs-assembler.csv,0.37,0.36,0.14,0.42,0.23,0.26,0.2,0.12,0.08,0.14,0.13,0.37,0.42,0.14
