,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.17,0.75,1.01,0.59,0.53,0.97,0.74,0.67,0.77,0.58,0.64,1.0,0.56,0.88
jicarilla.csv,1.0,0.97,0.25,1.0,0.99,0.96,1.01,1.0,1.11,0.99,1.0,1.0,0.98,1.04
jmule.csv,0.49,0.62,1.02,0.55,0.55,0.84,0.66,0.57,0.78,0.4,0.67,0.91,0.35,0.22
micomt.csv,0.9,0.77,0.77,0.83,0.67,0.89,0.91,0.84,0.23,0.72,0.85,0.94,0.7,0.83
migen.csv,0.56,0.87,0.94,0.52,0.49,0.6,0.9,0.82,0.66,0.6,0.65,0.95,0.52,0.96
mvnforum.csv,1.15,0.74,0.91,0.99,0.7,0.97,0.55,0.91,0.71,0.65,0.8,0.88,0.73,1.0
ng4j.csv,0.72,0.64,1.05,0.63,0.62,0.76,0.78,0.51,0.3,0.43,0.62,0.75,0.36,0.54
open-data-kit.csv,0.6,0.58,1.03,0.64,0.67,0.76,0.75,0.54,0.78,0.35,0.55,0.93,0.56,0.48
opennms.csv,0.52,0.7,0.97,0.58,0.76,0.46,1.01,0.92,1.06,0.77,1.0,0.9,0.73,0.56
ossim.csv,0.59,0.7,0.75,0.33,0.82,0.67,0.96,0.86,1.13,0.75,0.88,0.9,0.78,1.0
plplot.csv,0.77,0.99,0.99,0.86,0.56,0.81,0.52,0.45,0.7,0.54,0.63,0.99,0.57,0.92
qedo.csv,1.03,0.92,0.69,0.94,0.85,0.82,0.96,0.94,1.09,0.97,1.01,0.28,1.03,0.79
tradelink.csv,0.8,0.76,0.89,1.0,0.64,0.82,0.59,0.52,0.77,0.73,0.48,0.83,0.75,0.94
wgs-assembler.csv,0.37,0.58,1.01,0.49,0.58,0.79,0.75,0.63,0.62,0.53,0.7,0.98,0.55,0.64
