,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.71,0.3,0.8,0.74,0.38,0.83,0.44,0.58,0.75,0.51,0.92,0.49,0.67,0.67
jicarilla.csv,0.5,0.5,0.75,0.75,0.95,0.0,0.83,0.0,0.49,0.94,0.8,0.94,0.93,0.48
jmule.csv,0.49,0.5,0.69,0.5,0.36,0.41,0.38,0.59,0.49,0.4,0.42,0.41,0.64,0.43
micomt.csv,0.38,0.38,0.61,0.39,0.43,0.39,0.33,0.54,0.81,0.43,0.35,0.52,0.5,0.35
migen.csv,0.58,0.89,0.7,0.65,0.46,0.64,0.89,0.82,0.43,0.52,0.74,0.45,0.89,0.5
mvnforum.csv,0.62,0.77,0.8,0.99,0.83,0.89,0.5,0.65,0.93,0.6,0.92,0.98,0.95,0.0
ng4j.csv,0.4,0.37,0.67,0.43,0.35,0.42,0.36,0.47,0.73,0.38,0.39,0.4,0.56,0.67
open-data-kit.csv,0.58,0.42,0.72,0.42,0.42,0.51,0.44,0.56,0.41,0.52,0.52,0.52,0.6,0.46
opennms.csv,0.83,0.49,0.75,0.91,0.83,0.58,0.83,0.83,0.45,0.61,0.83,0.57,0.63,0.38
ossim.csv,0.78,0.41,0.58,0.62,0.54,0.46,0.72,0.64,0.48,0.67,0.65,0.42,0.47,0.31
plplot.csv,0.42,0.33,0.75,0.92,0.44,0.63,0.5,0.63,0.9,0.5,0.7,0.59,0.72,0.67
qedo.csv,0.94,0.95,0.72,0.89,0.8,0.84,0.88,0.97,0.56,0.88,0.91,0.81,0.87,0.71
tradelink.csv,0.44,0.67,0.73,0.73,0.54,0.76,0.38,0.65,0.8,0.51,0.58,0.93,0.54,0.85
wgs-assembler.csv,0.5,0.46,0.8,0.46,0.46,0.67,0.71,0.53,0.9,0.51,0.81,0.4,0.53,0.62
