,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.17,0.09,0.14,0.35,0.08,0.03,0.12,0.27,0.92,0.08,0.16,0.08,0.22,0.22,0.0,0.22,0.0,0.27
alsa.csv,0.44,0.12,0.62,0.06,0.33,0.44,0.99,0.17,0.17,0.29,0.36,0.18,0.31,0.42,0.5,0.16,0.5,0.34
boost.csv,0.33,0.58,0.52,0.82,0.82,0.92,0.56,0.97,1.0,0.97,0.82,0.89,0.59,0.72,0.17,0.76,1.0,0.85
fmri-dmt.csv,0.17,0.3,0.07,0.0,0.03,0.37,0.06,0.03,0.17,0.25,0.01,0.24,0.64,0.42,1.0,0.11,0.0,0.11
genecys.csv,0.88,1.0,0.83,0.82,0.62,0.98,0.92,0.83,0.92,0.99,0.96,0.87,1.0,0.78,0.83,0.76,1.0,0.88
gusanos.csv,0.44,0.43,0.41,0.47,0.1,0.55,0.45,0.53,0.33,0.35,0.99,0.45,0.85,0.67,0.5,0.54,0.5,0.63
hatari.csv,0.56,0.36,0.93,0.29,0.28,0.34,0.48,0.13,0.25,0.35,0.21,0.61,0.82,0.61,0.33,0.41,0.25,0.51
n2cms.csv,0.96,0.32,0.21,0.12,0.59,0.05,0.39,0.17,0.0,0.09,0.36,0.21,0.4,0.53,0.5,0.14,0.38,0.42
nug.csv,0.4,0.97,0.31,1.0,0.92,0.52,0.61,0.07,0.42,0.28,0.63,0.32,0.8,0.5,0.83,0.43,0.0,0.56
nuttx.csv,0.67,0.99,0.59,0.71,0.38,0.68,0.71,0.7,0.5,0.7,0.64,0.63,1.0,0.83,1.0,0.3,0.88,0.71
proftp.csv,0.25,0.25,0.21,0.35,0.59,0.5,0.36,1.0,0.5,0.28,0.51,0.68,0.17,0.53,0.5,0.24,0.38,0.4
pydev.csv,0.29,1.0,0.69,0.24,1.0,0.32,0.96,0.0,0.25,0.19,0.4,0.39,0.33,0.97,0.33,0.27,0.0,0.37
tcl.csv,0.12,0.55,0.24,0.47,0.97,0.31,0.33,0.37,0.58,0.45,0.34,0.26,0.12,0.19,0.33,0.38,0.38,0.35
truevision.csv,0.83,0.17,0.62,0.47,0.03,0.6,0.3,0.47,0.33,0.54,0.31,0.92,0.79,0.75,1.0,0.41,0.0,0.78
uclmda.csv,0.38,0.79,0.31,0.41,0.21,0.21,0.44,0.37,0.5,0.79,0.94,0.16,0.99,0.14,0.0,0.78,0.0,0.35
uwom.csv,0.5,0.95,0.14,0.24,0.21,0.18,0.4,0.5,0.25,0.36,0.24,0.42,0.59,0.47,0.5,0.19,0.38,0.96
wxjs.csv,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,1.0,0.0
wxstudio.csv,0.5,0.1,0.45,0.35,0.85,0.45,0.5,0.27,0.67,0.07,0.16,0.47,0.83,0.5,0.33,0.95,0.75,0.47
