,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.67,0.29,0.64,0.3,0.7,0.35,0.09,0.33,0.26,0.42,0.43,0.78,0.45,0.6
flylinkdc.csv,0.7,0.58,0.63,0.54,0.37,0.57,0.33,0.69,0.41,0.58,0.13,0.56,0.56,0.55
grisbi.csv,0.57,0.57,0.73,0.52,0.55,0.36,0.59,0.09,0.85,0.0,0.5,0.7,0.59,0.4
jaolt.csv,0.43,0.57,0.67,0.39,0.4,0.49,0.68,0.81,0.77,0.66,0.0,0.35,0.38,0.59
maidsafe-dht.csv,0.34,0.44,0.61,0.53,0.47,0.13,0.57,0.55,0.76,0.56,0.0,0.27,0.14,0.67
mimosa.csv,0.6,0.37,0.56,0.24,0.61,0.49,0.4,0.78,0.5,0.53,0.21,0.48,0.37,0.39
n2cms.csv,0.6,0.75,0.64,0.35,0.4,0.39,0.69,0.43,0.85,0.57,0.37,0.49,0.5,0.68
nassp.csv,0.43,0.31,0.34,0.39,0.28,0.17,0.76,0.21,0.25,0.21,0.0,0.27,0.47,0.17
nug.csv,0.39,0.57,0.09,0.82,0.11,0.6,0.54,0.43,0.02,0.4,0.26,0.37,0.41,0.37
quantlib.csv,0.0,0.24,0.09,0.24,0.38,0.25,0.0,0.24,0.0,0.09,0.0,0.0,0.68,0.13
red5.csv,0.45,0.21,0.47,0.45,0.5,0.68,0.0,0.39,0.23,0.56,0.0,0.84,0.45,0.65
super-tux.csv,0.24,0.33,0.7,0.64,0.45,0.52,0.65,0.34,0.0,0.55,0.13,0.92,0.42,0.65
tcvp.csv,0.0,0.07,0.09,0.0,0.11,0.02,0.0,0.0,0.0,0.0,0.69,0.01,0.0,0.05
zxing.csv,0.65,0.53,0.68,0.43,0.39,0.34,0.63,0.48,0.51,0.57,0.13,0.39,0.25,0.75
