,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.51,0.34,0.35,0.51,0.8,0.45,0.35,0.35,0.78,0.51,0.2,0.87,0.25,0.7
flylinkdc.csv,0.59,0.55,0.37,0.46,0.47,0.66,0.36,0.69,0.53,0.69,0.07,0.68,0.39,0.65
grisbi.csv,0.44,0.52,0.41,0.43,0.76,0.76,0.4,0.61,0.9,0.81,0.21,0.91,0.38,0.86
jaolt.csv,0.41,0.5,0.39,0.29,0.51,0.58,0.41,0.76,0.84,0.74,0.0,0.48,0.33,0.69
maidsafe-dht.csv,0.35,0.45,0.52,0.42,0.57,0.65,0.34,0.61,0.83,0.64,0.0,0.37,0.12,0.8
mimosa.csv,0.42,0.55,0.33,0.5,0.72,0.74,0.32,0.76,0.62,0.74,0.2,0.84,0.3,0.55
n2cms.csv,0.45,0.71,0.36,0.27,0.51,0.46,0.42,0.48,0.91,0.66,0.17,0.62,0.27,0.76
nassp.csv,0.47,0.34,0.33,0.35,0.38,0.22,0.6,0.25,0.35,0.29,0.0,0.37,0.51,0.24
nug.csv,0.38,0.52,0.08,0.74,0.15,0.65,0.31,0.45,0.03,0.49,0.17,0.49,0.25,0.52
quantlib.csv,0.43,0.25,0.11,0.45,0.46,0.31,0.32,0.28,0.9,0.12,0.0,0.0,0.48,0.19
red5.csv,0.47,0.56,0.35,0.52,0.83,0.71,0.34,0.61,0.61,0.78,0.18,0.96,0.35,0.81
super-tux.csv,0.4,0.33,0.41,0.5,0.81,0.57,0.38,0.33,0.71,0.66,0.2,0.95,0.34,0.79
tcvp.csv,0.0,0.11,0.12,0.0,0.17,0.05,0.0,0.0,0.0,0.0,0.4,0.02,0.0,0.07
zxing.csv,0.51,0.48,0.42,0.35,0.49,0.4,0.37,0.51,0.62,0.65,0.12,0.52,0.24,0.82
