,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.36,0.14,0.63,0.92,0.51,0.07,0.98,0.31,0.93,0.17,0.86,0.2,0.76,0.24
flylinkdc.csv,0.23,0.73,0.42,0.75,0.1,0.69,0.91,0.64,0.0,0.59,0.24,0.2,0.31,0.47
grisbi.csv,0.76,0.7,0.55,0.75,0.74,0.9,0.78,0.98,0.14,1.0,0.82,0.6,0.77,0.88
jaolt.csv,0.18,0.53,0.45,0.67,0.21,0.72,0.5,0.5,0.21,0.41,0.11,0.4,0.17,0.41
maidsafe-dht.csv,0.14,0.23,0.15,0.69,0.26,0.97,0.48,0.76,0.07,0.31,0.0,0.0,0.25,0.59
mimosa.csv,0.53,0.89,0.77,0.94,0.54,0.83,0.87,0.26,0.43,0.76,0.95,0.8,0.88,0.76
n2cms.csv,0.72,0.24,0.53,0.78,0.1,0.24,0.65,0.24,0.29,0.31,0.31,0.2,0.62,0.24
nassp.csv,0.09,0.2,0.1,0.31,0.05,0.17,0.2,0.26,0.0,0.14,0.01,0.2,0.05,0.12
nug.csv,0.19,0.68,0.15,0.19,0.13,0.38,0.57,0.31,0.0,0.38,0.16,0.2,0.42,0.76
quantlib.csv,1.0,0.31,0.05,0.94,0.33,0.24,1.0,0.29,1.0,0.14,0.0,0.0,0.28,0.06
red5.csv,0.86,0.95,0.85,0.86,0.82,0.38,1.0,0.88,0.93,0.76,1.0,0.4,0.85,0.65
super-tux.csv,0.94,0.32,0.68,0.61,0.85,0.41,0.57,0.64,1.0,0.59,0.97,0.0,0.87,0.59
tcvp.csv,0.02,0.04,0.02,0.0,0.05,0.0,0.04,0.0,0.0,0.03,0.2,0.0,0.02,0.06
zxing.csv,0.33,0.42,0.4,0.44,0.15,0.31,0.61,0.76,0.21,0.41,0.09,0.2,0.14,0.24
