,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.34,0.58,0.43,0.15,0.77,0.54,0.0,0.49,0.41,0.2,0.18,0.43,0.41,0.61,0.56,0.52,0.2,0.41
ardour.csv,0.28,0.13,0.2,0.14,0.16,0.15,0.26,0.0,0.08,0.2,0.35,0.2,0.25,0.24,0.33,0.32,0.44,0.06
bacnet.csv,0.3,0.52,0.57,0.0,0.39,0.58,0.6,0.41,0.39,0.48,0.63,0.49,0.59,0.43,0.56,0.84,0.59,0.71
cortex-vfx.csv,0.13,0.11,0.26,0.31,0.16,0.35,0.11,0.13,0.24,0.2,0.2,0.26,0.32,0.01,0.28,0.24,0.19,0.06
enzo.csv,0.53,0.59,0.78,0.62,0.68,0.59,0.71,0.62,0.59,0.12,0.54,0.62,0.55,0.75,0.72,0.51,0.55,0.65
growl-for-windows.csv,0.53,0.3,0.41,0.22,0.41,0.37,0.37,0.38,0.42,0.8,0.21,0.6,0.61,0.24,0.0,0.69,0.45,0.41
heekscad.csv,0.02,0.41,0.37,0.04,0.49,0.37,0.34,0.49,0.34,0.04,0.01,0.53,0.43,0.46,0.5,0.6,0.0,0.41
minig.csv,0.66,0.24,0.59,0.99,0.0,0.55,0.54,0.61,0.41,0.24,0.79,0.47,0.39,0.47,0.44,0.62,0.75,0.35
multitude.csv,0.43,0.54,0.33,0.31,0.56,0.38,0.4,0.51,0.0,0.08,0.6,0.34,0.3,0.53,0.39,0.55,0.5,0.29
natpad.csv,0.34,0.32,0.24,0.39,0.34,0.41,0.14,0.48,0.14,0.8,0.44,0.35,0.25,0.3,0.11,0.14,0.02,0.06
open-ms.csv,0.28,0.25,0.52,0.36,0.67,0.5,0.03,0.08,0.37,0.76,0.08,0.0,0.43,0.23,0.33,0.42,0.39,0.76
planeshift.csv,0.28,0.68,0.07,0.61,0.48,0.44,0.71,0.82,0.49,0.28,0.45,0.7,0.61,0.65,0.44,0.56,0.81,0.88
rocrail.csv,0.11,0.01,0.13,0.14,0.06,0.05,0.09,0.28,0.07,0.04,0.18,0.14,0.02,0.22,0.11,0.0,0.06,0.12
salasaga.csv,0.89,0.9,0.89,0.93,0.78,0.83,0.77,0.8,0.92,0.92,0.0,0.88,0.93,0.67,0.94,0.95,0.86,0.94
xcsoar.csv,0.23,0.07,0.35,0.27,0.13,0.23,0.34,0.44,0.17,0.12,0.24,0.32,0.25,0.35,0.33,0.41,0.14,0.35
xemeiah.csv,0.26,0.31,0.22,0.24,0.23,0.01,0.14,0.25,0.03,0.6,0.42,0.26,0.14,0.2,0.17,0.32,0.34,0.18
xmoto.csv,0.09,0.27,0.13,0.32,0.23,0.17,0.23,0.37,0.2,0.0,0.31,0.27,0.0,0.29,0.44,0.35,0.69,0.41
zxing.csv,0.21,0.42,0.37,0.22,0.35,0.24,0.4,0.54,0.19,0.72,0.29,0.36,0.36,0.5,0.17,0.46,0.2,0.0
