,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.76,0.42,0.78,0.35,0.33,0.48,1.0,0.62,0.64,0.9,0.17,0.24,0.5,0.23,0.6,0.29,0.57,0.8
ardour.csv,0.73,0.74,0.88,0.52,0.41,0.68,0.53,1.0,0.82,0.88,0.27,0.35,0.68,0.31,0.76,0.38,0.53,0.94
bacnet.csv,0.77,0.48,0.81,1.0,0.38,0.41,0.5,0.63,0.61,0.82,0.15,0.26,0.46,0.18,0.66,0.22,0.41,0.57
cortex-vfx.csv,0.87,0.72,0.78,0.32,0.46,0.43,0.6,0.65,0.62,0.84,0.26,0.24,0.53,0.96,0.78,0.34,0.57,0.94
enzo.csv,0.71,0.49,0.78,0.38,0.37,0.48,0.57,0.61,0.59,0.97,0.2,0.22,0.51,0.21,0.58,0.34,0.49,0.75
growl-for-windows.csv,0.68,0.61,0.85,0.38,0.43,0.63,0.54,0.69,0.6,0.76,0.31,0.23,0.52,0.35,1.0,0.27,0.51,0.82
heekscad.csv,0.99,0.61,0.86,0.25,0.43,0.59,0.64,0.65,0.67,0.67,0.5,0.25,0.56,0.29,0.67,0.29,0.0,0.79
minig.csv,0.66,0.64,0.8,0.34,1.0,0.5,0.52,0.63,0.58,0.91,0.15,0.24,0.6,0.25,0.77,0.29,0.45,0.87
multitude.csv,0.73,0.52,0.86,0.39,0.34,0.55,0.6,0.66,1.0,0.96,0.18,0.29,0.66,0.27,0.67,0.32,0.46,0.76
natpad.csv,0.73,0.57,0.87,0.28,0.52,0.59,0.72,0.63,0.74,0.78,0.23,0.27,0.65,0.29,0.75,0.56,0.98,0.96
open-ms.csv,0.68,0.49,0.73,0.27,0.36,0.45,0.86,0.81,0.45,0.69,0.24,1.0,0.46,0.32,0.78,0.17,0.34,0.77
planeshift.csv,0.81,0.48,0.98,0.37,0.42,0.55,0.51,0.58,0.61,0.92,0.24,0.21,0.46,0.24,0.67,0.32,0.43,0.77
rocrail.csv,0.88,0.95,0.9,0.23,0.67,0.83,0.62,0.7,0.73,0.96,0.26,0.38,0.92,0.24,0.75,1.0,0.78,0.71
salasaga.csv,0.6,0.42,0.76,0.33,0.35,0.44,0.55,0.54,0.48,0.77,1.0,0.19,0.44,0.25,0.67,0.2,0.36,0.75
xcsoar.csv,0.8,0.91,0.85,0.43,0.68,0.64,0.56,0.68,0.73,0.94,0.3,0.29,0.67,0.33,0.62,0.38,0.74,0.85
xemeiah.csv,0.8,0.64,0.89,0.49,0.44,0.98,0.64,0.76,0.91,0.75,0.25,0.34,0.71,0.32,0.75,0.4,0.55,0.86
xmoto.csv,0.91,0.63,0.92,0.44,0.44,0.73,0.58,0.68,0.71,1.0,0.25,0.31,1.0,0.31,0.65,0.36,0.39,0.82
zxing.csv,0.8,0.55,0.85,0.43,0.4,0.65,0.59,0.64,0.72,0.8,0.22,0.23,0.56,0.28,0.73,0.31,0.66,1.0
