,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,3.0,10.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,15.0,4.0,2.0,17.0,1.0,17.0,0.0,1.0
ardour.csv,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,1.0,1.0,5.0,1.0,1.0,3.0,0.0,14.0,0.0,0.0
bacnet.csv,2.0,11.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,50.0,2.0,6.0,43.0,0.0,16.0,1.0,0.0
cortex-vfx.csv,1.0,2.0,2.0,0.0,4.0,1.0,0.0,3.0,0.0,2.0,5.0,6.0,1.0,0.0,0.0,14.0,10.0,0.0
enzo.csv,2.0,7.0,1.0,1.0,12.0,4.0,1.0,1.0,0.0,0.0,13.0,2.0,0.0,13.0,5.0,2.0,7.0,0.0
growl-for-windows.csv,4.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,14.0,0.0,2.0,0.0,26.0,1.0,0.0
heekscad.csv,0.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,15.0,106.0,2.0
minig.csv,4.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,51.0,2.0,1.0,6.0,0.0,11.0,0.0,0.0
multitude.csv,2.0,1.0,1.0,1.0,3.0,4.0,6.0,0.0,0.0,0.0,18.0,2.0,2.0,1.0,1.0,14.0,0.0,1.0
natpad.csv,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,13.0,9.0,1.0,8.0,1.0,3.0,0.0,0.0
open-ms.csv,2.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,4.0,0.0,26.0,1.0,0.0
planeshift.csv,0.0,15.0,0.0,0.0,9.0,3.0,0.0,2.0,2.0,0.0,14.0,11.0,3.0,11.0,0.0,14.0,0.0,0.0
rocrail.csv,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,0.0,7.0,4.0,1.0,25.0,1.0,0.0,2.0,1.0
salasaga.csv,6.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23.0,1.0,3.0,0.0,21.0,1.0,0.0
xcsoar.csv,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,6.0,3.0,1.0,2.0,1.0,1.0,0.0
xemeiah.csv,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,14.0,0.0,1.0,6.0,1.0,5.0,5.0,1.0
xmoto.csv,0.0,1.0,0.0,6.0,2.0,0.0,2.0,4.0,1.0,0.0,12.0,6.0,0.0,0.0,0.0,16.0,1.0,0.0
zxing.csv,2.0,9.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,13.0,20.0,1.0,2.0,0.0,18.0,1.0,0.0
