,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.59,0.68,0.79,0.7,0.38,0.68,0.05,0.11,0.47,0.22,0.74,0.05,0.39,0.46,0.95,0.47
arcallians.csv,0.54,0.57,0.8,0.7,0.5,0.75,0.08,0.1,0.45,0.41,0.62,0.03,0.33,0.4,0.8,0.33
arianne.csv,0.72,0.49,0.69,0.52,0.29,0.52,0.11,0.09,0.47,0.19,0.63,0.02,0.35,0.37,0.81,0.28
aztec.csv,0.48,0.53,0.76,0.62,0.63,0.56,0.25,0.15,0.51,0.26,0.65,0.05,0.6,0.62,0.81,0.36
biopax.csv,0.5,0.52,0.69,0.55,0.27,0.54,0.08,0.11,0.42,0.2,0.65,0.02,0.22,0.37,0.97,0.25
bl-toolkit.csv,0.52,0.42,0.9,0.52,0.19,0.52,0.07,0.14,0.42,0.19,0.63,0.0,0.21,0.36,0.67,0.24
gnupdate.csv,0.58,0.48,0.9,0.63,0.48,0.56,0.07,0.09,0.48,0.53,0.7,0.0,0.21,0.38,0.88,0.33
les-indemodables.csv,0.54,0.61,0.7,0.75,0.32,0.59,0.09,0.12,0.49,0.18,0.62,0.02,0.3,0.57,0.84,0.19
ng4j.csv,0.57,0.55,0.85,0.65,0.64,0.62,0.27,0.12,0.47,0.44,0.71,0.04,0.32,0.4,1.0,0.46
openxava.csv,0.58,0.56,0.78,0.85,0.05,0.62,0.05,0.22,0.51,0.16,0.64,0.09,0.29,0.67,0.71,0.24
phonon-vlc-mplayer.csv,0.68,0.55,0.83,0.61,0.63,0.81,0.19,0.1,0.55,0.28,0.69,0.03,0.52,0.39,1.0,0.48
qgis.csv,0.52,0.68,0.5,0.0,0.45,0.66,0.06,0.09,0.54,0.0,0.0,0.04,0.37,0.43,0.98,0.36
rsyslog.csv,0.56,0.66,0.6,0.71,0.29,0.69,0.05,0.09,0.43,0.32,0.72,0.03,0.27,0.65,0.89,0.24
vars-redux.csv,0.58,0.65,0.7,0.61,0.33,0.56,0.18,0.11,0.61,0.15,0.7,0.02,0.31,0.37,1.0,0.31
xapian.csv,0.6,0.51,0.72,0.56,0.41,0.59,0.07,0.07,0.44,0.25,0.68,0.02,0.45,0.31,0.85,0.27
xqilla.csv,0.42,0.44,0.8,1.0,0.06,0.42,0.04,1.0,0.35,0.09,0.73,0.3,0.15,1.0,0.53,0.1
