,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.55,0.69,0.63,1.0,0.89,0.59,0.4,0.58,0.73,0.93,0.96,0.7,0.73,0.62,0.64,0.63,1.0,0.55
ardour.csv,0.57,0.49,0.51,0.64,0.64,0.53,0.59,0.42,0.69,0.42,0.6,0.6,0.55,0.57,0.83,0.65,0.54,0.42
bacnet.csv,0.56,0.67,0.52,0.51,0.57,0.57,0.7,0.57,0.68,0.91,0.45,0.62,0.6,0.59,0.77,0.51,0.46,0.77
cortex-vfx.csv,0.72,0.68,0.75,0.65,0.85,0.7,0.8,0.51,0.73,0.56,0.53,0.59,0.58,0.53,0.84,0.46,0.53,0.52
enzo.csv,0.39,0.72,0.75,0.65,0.95,0.83,0.67,0.71,0.75,0.3,0.61,0.71,0.7,0.61,0.94,0.79,0.66,1.0
growl-for-windows.csv,0.43,0.84,1.0,0.84,0.66,0.58,0.57,0.97,0.59,0.89,0.58,1.0,0.55,0.88,0.37,0.51,0.6,0.6
heekscad.csv,0.41,0.45,0.5,0.58,0.56,0.47,0.66,0.48,0.51,0.9,0.5,0.59,0.38,0.53,0.75,0.69,0.47,0.75
minig.csv,0.99,1.02,0.94,1.0,0.45,0.98,0.86,0.95,0.97,1.04,0.95,0.84,1.02,0.85,0.94,1.09,1.0,0.6
multitude.csv,0.55,0.58,0.58,0.77,0.99,0.51,0.83,0.83,0.47,0.92,0.43,0.73,0.63,0.91,0.77,0.7,0.68,0.73
natpad.csv,0.64,0.76,0.55,0.63,0.57,0.49,0.7,0.7,0.66,0.93,0.55,0.64,0.53,0.67,0.82,0.57,0.4,0.53
open-ms.csv,0.58,0.55,0.65,0.62,0.73,0.84,0.67,0.57,0.66,0.92,0.62,0.61,0.73,0.71,0.88,0.63,0.58,0.78
planeshift.csv,0.65,0.8,0.45,0.72,0.8,0.92,0.81,0.89,0.74,0.92,0.71,0.96,0.66,0.99,0.92,0.66,0.59,1.0
rocrail.csv,0.46,0.45,0.49,0.68,0.95,0.62,0.67,0.61,0.54,0.67,0.72,0.63,0.64,0.72,0.85,0.33,0.56,0.95
salasaga.csv,0.57,0.65,0.54,0.49,0.58,0.6,0.75,0.61,0.71,0.99,0.43,0.62,0.57,0.64,0.77,0.5,0.47,0.89
xcsoar.csv,0.41,0.41,0.51,0.59,0.57,0.65,0.66,0.45,0.52,0.63,0.59,0.63,0.51,0.51,0.65,0.42,0.51,0.72
xemeiah.csv,0.53,0.71,0.53,0.69,0.88,0.38,0.77,0.51,0.68,0.97,0.48,0.64,0.49,0.7,0.62,0.47,0.5,0.52
xmoto.csv,0.47,0.5,0.6,0.73,0.64,0.64,0.61,0.5,0.62,0.98,0.86,0.64,0.32,0.67,0.88,0.83,0.55,0.8
zxing.csv,0.5,0.53,0.54,0.92,0.63,0.47,0.69,0.49,0.69,0.65,0.61,0.6,0.53,0.65,0.51,0.36,0.77,0.42
