,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.95,0.07,0.17,0.56,0.26,0.41,0.53,0.06,0.69,0.18,0.48,0.18,0.58,0.26,0.2
biodwh.csv,0.54,0.06,0.17,0.87,0.32,0.28,0.58,0.05,0.25,0.92,0.45,0.0,0.92,0.56,0.41
brlcad.csv,0.95,0.77,0.43,0.06,0.11,0.24,0.32,0.07,0.5,0.0,0.12,0.14,0.33,0.0,0.05
delphilhlplib.csv,0.95,0.4,0.87,0.36,0.84,0.66,0.53,0.08,0.62,0.55,0.45,0.99,0.33,0.59,0.39
exordium.csv,0.79,0.29,0.72,0.34,0.84,0.66,0.42,0.08,0.5,0.42,0.22,0.14,0.42,0.56,0.29
fltk.csv,0.9,0.27,0.51,0.67,0.58,0.69,0.53,0.17,0.94,0.87,0.62,0.99,0.58,0.65,0.64
gzigzag.csv,0.67,0.42,0.42,0.3,0.32,0.55,0.26,0.29,0.56,0.5,0.32,0.19,0.75,0.65,0.18
jcache.csv,0.92,0.99,1.0,0.6,1.0,0.72,0.32,0.82,0.81,0.71,0.78,0.97,0.58,0.94,0.82
mimosa.csv,0.95,1.0,1.0,0.5,0.89,0.93,0.74,0.92,1.0,0.82,0.78,0.99,0.42,0.65,0.55
moast.csv,0.1,0.63,0.26,0.19,0.37,0.79,0.21,0.25,0.25,0.95,0.1,0.97,1.0,0.35,0.36
mptvseries.csv,0.62,0.64,0.0,0.34,0.37,0.21,0.63,0.08,0.0,0.42,0.4,0.0,0.08,0.09,0.27
ogre.csv,0.08,0.38,0.64,0.58,0.47,0.9,0.42,0.95,0.5,0.66,0.7,0.91,0.58,0.62,0.66
qdvdauthor.csv,0.49,0.81,0.43,0.86,0.84,0.48,0.84,0.4,0.38,0.66,0.82,0.83,0.08,0.74,0.45
sauerbraten.csv,0.77,0.94,0.66,1.0,1.0,0.9,0.95,1.0,0.69,0.92,1.0,1.0,0.83,0.91,0.82
zxing.csv,0.82,0.16,0.7,0.81,0.37,0.59,0.74,0.15,0.69,0.87,0.7,0.43,0.92,0.97,0.79
