,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.26,0.54,0.3,0.21,0.49,0.64,0.45,0.51,0.59,0.41,0.98,0.2
archive-crawler.csv,0.23,0.24,0.36,0.12,0.7,0.52,0.42,0.51,0.3,0.98,0.13,0.12
blue-c.csv,0.38,0.5,0.27,0.22,0.65,1.0,0.64,0.56,0.63,0.4,0.56,0.38
dynalloy.csv,0.16,0.98,0.05,0.23,0.55,0.55,0.55,0.45,0.48,0.36,0.27,0.31
jcae.csv,0.06,0.04,1.0,0.0,0.0,0.0,0.09,0.0,0.06,0.0,0.31,0.0
kmatplot.csv,0.98,0.34,0.11,0.24,0.46,0.42,0.36,0.36,0.37,0.22,0.08,0.45
mscore.csv,0.37,0.36,0.26,0.31,0.67,0.64,0.99,0.53,0.51,0.39,0.52,0.37
nosleepsoftware.csv,0.38,0.06,0.14,1.0,0.3,0.09,0.47,0.16,0.06,0.24,0.13,0.4
openmalaria.csv,0.38,0.45,0.25,0.32,0.58,0.74,0.73,0.98,0.58,0.47,0.49,0.26
popeye-chess.csv,0.38,0.4,0.25,0.49,0.97,0.54,0.62,0.62,0.56,0.41,0.43,0.39
riff-evolve.csv,0.27,0.38,0.25,0.06,0.1,0.6,0.64,0.65,0.98,0.27,0.63,0.12
virtuoso.csv,0.39,0.47,0.21,0.41,0.42,0.71,0.72,0.62,0.63,0.41,0.65,0.89
