,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.25,0.69,0.07,0.54,0.57,0.08,0.52,0.18,0.39,0.84,0.37,0.65
delphilhlplib.csv,0.72,0.41,0.28,0.54,0.07,0.15,0.31,0.27,0.35,0.2,0.5,0.11
factor.csv,0.0,0.45,0.3,0.28,0.27,0.02,0.32,0.1,0.64,0.34,0.9,0.45
fceugc.csv,0.0,0.47,0.65,0.64,0.46,0.24,0.3,0.45,0.2,0.53,0.57,0.0
fltk.csv,0.49,0.71,0.6,0.54,0.63,0.11,0.38,0.27,0.76,0.45,0.81,0.34
jstock.csv,0.24,0.34,0.2,0.42,0.27,0.43,0.43,0.88,0.55,0.38,0.63,0.33
lportal.csv,0.07,0.1,0.01,0.0,0.12,0.0,0.72,0.0,0.1,0.0,0.02,0.23
natpad.csv,0.0,0.35,0.47,0.59,0.8,0.0,0.66,0.77,0.74,0.55,0.58,0.72
ogre.csv,0.51,0.56,0.47,0.51,0.4,0.95,0.53,0.42,0.47,0.56,0.26,0.56
phet.csv,0.4,0.19,0.66,0.42,0.28,0.93,0.01,0.42,0.0,0.1,0.47,0.22
sandiaportals.csv,0.66,0.68,0.39,0.54,0.59,0.14,0.53,0.51,0.78,0.36,0.78,0.69
sumatrapdf.csv,0.0,0.46,0.27,0.54,0.75,0.0,0.05,0.73,0.76,0.47,0.63,0.77
