,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.21,0.78,0.06,0.52,0.52,0.07,0.55,0.15,0.34,0.83,0.32,0.63
delphilhlplib.csv,0.72,0.36,0.25,0.52,0.06,0.13,0.27,0.23,0.3,0.17,0.46,0.09
factor.csv,0.0,0.42,0.26,0.24,0.23,0.02,0.28,0.08,0.6,0.33,0.93,0.4
fceugc.csv,0.96,0.46,0.68,0.62,0.42,0.21,0.28,0.46,0.17,0.5,0.8,0.0
fltk.csv,0.45,0.71,0.65,0.52,0.58,0.09,0.85,0.23,0.72,0.42,0.83,0.3
jstock.csv,0.98,0.3,0.17,0.38,0.23,0.42,0.39,0.92,0.49,0.33,0.59,0.28
lportal.csv,0.06,0.08,0.01,0.0,0.1,0.0,0.7,0.0,0.08,0.0,0.02,0.19
natpad.csv,0.94,0.96,0.65,0.81,0.81,0.34,0.89,0.85,0.72,0.67,0.54,0.74
ogre.csv,0.64,0.58,0.45,0.67,0.58,0.94,0.58,0.85,0.66,0.58,0.27,0.72
phet.csv,0.36,0.16,0.64,0.48,0.32,0.91,0.01,0.69,0.47,0.08,0.66,0.19
sandiaportals.csv,0.89,0.78,0.38,0.52,0.55,0.12,0.97,0.46,0.77,0.33,0.78,0.7
sumatrapdf.csv,0.98,0.95,0.88,0.9,0.74,0.59,1.0,1.0,0.79,1.0,0.98,0.84
