,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.0,0.0,0.03,0.02,0.0,0.05,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.0
jicarilla.csv,0.03,0.01,0.0,0.01,0.09,0.03,0.02,0.05,0.0,0.16,0.05,0.22,0.12,0.31
jmule.csv,0.37,0.73,0.24,0.41,0.37,0.44,0.3,0.05,0.56,0.25,0.27,0.52,0.22,0.0
micomt.csv,0.0,0.04,0.32,0.03,0.23,0.39,0.5,0.02,0.0,0.39,0.19,0.46,0.39,0.21
migen.csv,0.1,0.06,0.22,0.11,0.0,0.32,0.16,0.11,0.1,0.07,0.17,0.28,0.15,0.1
mvnforum.csv,0.54,0.19,0.11,0.43,0.21,0.32,0.0,0.21,0.54,0.23,0.26,0.2,0.08,0.48
ng4j.csv,0.2,0.26,0.05,0.44,0.28,0.3,0.61,0.21,0.56,0.36,0.3,0.46,0.03,0.07
open-data-kit.csv,0.55,0.34,0.43,0.47,0.37,0.66,0.8,0.44,0.73,0.0,0.42,0.52,0.36,0.34
opennms.csv,0.15,0.31,0.03,0.2,0.21,0.01,0.32,0.07,0.1,0.45,0.14,0.18,0.14,0.14
ossim.csv,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plplot.csv,0.23,0.69,0.41,0.45,0.63,0.65,0.57,0.0,0.39,0.64,0.42,0.79,0.61,0.59
qedo.csv,0.14,0.1,0.03,0.12,0.02,0.03,0.0,0.05,0.07,0.11,0.18,0.0,0.02,0.03
tradelink.csv,0.1,0.06,0.03,0.22,0.14,0.04,0.0,0.09,0.05,0.09,0.0,0.13,0.05,0.03
wgs-assembler.csv,0.07,0.0,0.16,0.21,0.16,0.27,0.41,0.11,0.22,0.16,0.22,0.34,0.19,0.28
