,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.64,0.81,0.97,0.57,0.6,0.7,0.39,0.84,0.75,0.51,0.85,0.62,0.35,0.52,0.78,0.43,0.65
delphilhlplib.csv,0.88,0.27,0.6,0.67,0.63,0.46,0.59,0.69,0.8,0.49,0.43,0.57,0.56,0.65,0.55,0.57,0.82
exordium.csv,0.88,0.78,0.62,0.34,0.61,0.65,0.52,0.54,0.91,0.63,0.64,0.59,0.62,0.8,0.83,0.67,0.49
fltk.csv,0.68,0.71,0.41,0.42,0.69,0.48,0.47,0.61,0.5,0.66,0.87,0.46,0.52,0.51,0.76,0.59,0.51
genoviz.csv,0.64,0.92,0.85,0.79,0.49,0.95,0.75,0.82,0.77,0.76,0.9,0.85,0.63,0.71,0.65,0.95,0.11
gzigzag.csv,0.61,0.55,0.68,0.65,0.61,0.65,0.6,0.74,0.49,0.56,0.89,0.56,0.64,0.66,1.1,0.64,0.63
irrlicht.csv,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.57,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0
moast.csv,0.86,0.77,0.8,0.76,0.8,0.88,0.89,0.69,1.0,0.86,0.89,0.58,0.92,0.85,0.11,0.73,0.7
mptvseries.csv,0.47,0.96,0.43,0.34,0.64,0.45,0.42,0.67,0.36,0.63,0.87,0.51,0.5,0.68,0.94,0.75,0.53
openfrag.csv,0.92,0.95,0.62,0.58,0.71,0.51,0.56,0.57,0.63,0.39,0.62,0.39,0.47,0.61,0.75,0.66,0.87
qdvdauthor.csv,0.65,0.97,0.82,0.61,0.67,0.48,0.42,0.72,1.0,0.59,0.76,0.69,0.43,0.39,0.26,0.45,0.84
qse.csv,0.69,0.72,0.56,0.49,0.74,0.45,0.56,0.66,0.26,0.54,0.57,0.61,0.63,0.7,0.86,0.54,0.78
sauerbraten.csv,0.37,1.05,0.97,0.78,0.82,0.9,0.82,0.89,1.0,0.92,0.75,0.9,0.55,0.81,0.79,0.82,0.87
toped.csv,0.83,0.8,0.74,0.82,0.92,0.62,0.21,0.76,0.73,0.72,0.57,0.64,0.5,0.54,0.76,0.58,0.89
truevision.csv,0.75,0.65,0.63,0.73,0.61,0.47,0.6,0.69,0.6,0.4,0.5,0.55,0.59,0.69,0.97,0.43,0.87
zoolib.csv,0.72,0.63,0.63,0.5,0.66,0.53,0.49,0.61,0.71,0.68,0.37,0.74,0.59,0.73,0.79,0.86,0.45
zxing.csv,0.57,1.03,0.62,0.79,0.68,0.59,0.67,0.77,0.83,0.57,0.84,0.82,0.68,0.5,1.16,0.34,0.35
