,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.87,0.55,1.0,0.74,0.72,0.74,0.8,0.75,0.91,0.66,0.16,0.68,0.75,0.78,0.39,0.64,0.8
delphilhlplib.csv,0.95,0.85,0.42,0.89,0.52,0.58,0.45,0.64,0.2,0.55,0.81,0.44,0.61,0.5,0.99,0.45,0.8
exordium.csv,0.95,0.92,0.39,0.95,0.69,0.53,0.73,0.54,0.09,0.39,0.9,0.42,0.67,0.4,0.27,0.36,1.0
fltk.csv,0.87,0.38,0.69,0.74,0.66,0.58,0.59,0.57,0.91,0.34,0.13,0.58,0.51,0.6,0.97,0.57,1.0
genoviz.csv,0.44,0.77,0.16,0.21,0.69,0.05,0.25,0.19,0.23,0.24,0.1,0.17,0.37,0.3,0.43,0.05,1.0
gzigzag.csv,0.82,0.53,0.36,0.37,0.52,0.37,0.78,0.28,0.51,0.45,0.13,0.48,0.4,0.42,0.23,0.38,0.8
irrlicht.csv,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.68,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0
moast.csv,0.15,0.23,0.67,0.37,0.83,0.21,0.94,0.45,1.0,0.21,0.13,0.52,0.16,0.18,0.97,0.39,0.6
mptvseries.csv,0.9,0.04,0.67,0.79,0.38,0.63,0.65,0.4,0.89,0.37,0.13,0.5,0.52,0.42,0.06,0.25,0.8
openfrag.csv,0.97,0.94,0.5,0.89,0.59,0.53,0.92,0.66,0.37,0.63,0.45,0.71,0.66,0.45,0.82,0.41,0.8
qdvdauthor.csv,0.38,0.25,0.73,0.63,0.41,0.84,0.65,0.59,1.0,0.45,0.26,0.71,0.72,0.78,0.74,0.59,0.2
qse.csv,0.82,0.55,0.76,0.89,0.76,0.63,0.92,0.6,0.77,0.61,0.74,0.44,0.52,0.38,1.0,0.73,0.6
sauerbraten.csv,0.77,0.3,0.93,0.84,0.9,0.79,0.75,0.79,0.91,0.87,0.68,0.86,0.85,0.82,0.99,0.71,0.2
toped.csv,1.0,0.79,0.69,0.95,0.83,0.79,0.82,0.71,0.91,0.37,0.71,0.74,0.75,0.75,0.98,0.54,1.0
truevision.csv,0.92,0.58,0.83,1.0,0.59,0.74,0.76,0.72,0.4,0.76,0.74,0.61,0.64,0.62,1.0,0.61,0.8
zoolib.csv,0.9,0.7,0.39,0.74,0.66,0.47,0.57,0.46,0.29,0.34,0.71,0.26,0.52,0.4,0.99,0.14,0.8
zxing.csv,0.51,0.4,0.5,0.21,0.34,0.47,0.37,0.25,0.17,0.61,0.19,0.2,0.34,0.55,0.1,0.71,0.8
