,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,2.0,1.0,2.0,10.0,17.0,5.0,0.0,0.0,16.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0
delphilhlplib.csv,4.0,0.0,1.0,11.0,15.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,1.0,5.0,0.0,0.0,26.0
exordium.csv,4.0,1.0,1.0,6.0,11.0,5.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,1.0,0.0,1.0,10.0
fltk.csv,3.0,1.0,2.0,5.0,31.0,2.0,0.0,0.0,10.0,0.0,9.0,1.0,1.0,3.0,2.0,0.0,14.0
genoviz.csv,1.0,1.0,0.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
gzigzag.csv,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,3.0,0.0,0.0,12.0
irrlicht.csv,6.0,1.0,3.0,14.0,1.0,6.0,0.0,0.0,7.0,1.0,12.0,3.0,1.0,0.0,2.0,0.0,28.0
moast.csv,1.0,0.0,3.0,12.0,6.0,5.0,0.0,0.0,7.0,19.0,2.0,2.0,1.0,0.0,1.0,0.0,12.0
mptvseries.csv,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,14.0
openfrag.csv,5.0,1.0,4.0,9.0,19.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,22.0
qdvdauthor.csv,2.0,0.0,3.0,7.0,19.0,5.0,0.0,0.0,7.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,11.0
qse.csv,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,1.0,3.0,2.0,0.0,21.0
sauerbraten.csv,1.0,1.0,3.0,12.0,1.0,6.0,0.0,0.0,7.0,1.0,20.0,2.0,1.0,0.0,2.0,0.0,15.0
toped.csv,5.0,1.0,3.0,11.0,1.0,4.0,0.0,0.0,6.0,1.0,23.0,2.0,1.0,0.0,2.0,0.0,24.0
truevision.csv,4.0,1.0,1.0,7.0,16.0,4.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,6.0,2.0,0.0,28.0
zoolib.csv,3.0,1.0,1.0,7.0,20.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,5.0,1.0,0.0,15.0
zxing.csv,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,1.0,4.0
