,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.69,0.49,0.13,0.68,0.65,0.61,0.77,0.48,0.61,0.65,0.19,0.62,0.75,0.71,0.41,0.66,0.66
delphilhlplib.csv,0.4,0.84,0.47,0.67,0.53,0.61,0.49,0.58,0.24,0.59,0.76,0.49,0.61,0.51,0.8,0.5,0.5
exordium.csv,0.4,0.56,0.44,0.87,0.63,0.53,0.69,0.57,0.11,0.44,0.7,0.47,0.62,0.41,0.3,0.41,0.84
fltk.csv,0.66,0.42,0.7,0.73,0.58,0.61,0.62,0.57,0.79,0.39,0.16,0.61,0.55,0.61,0.6,0.57,0.83
genoviz.csv,0.48,0.35,0.19,0.25,0.67,0.06,0.29,0.22,0.27,0.28,0.12,0.2,0.42,0.35,0.47,0.06,0.98
gzigzag.csv,0.69,0.56,0.4,0.42,0.54,0.42,0.68,0.32,0.56,0.5,0.16,0.52,0.44,0.45,0.23,0.43,0.67
irrlicht.csv,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
moast.csv,0.18,0.27,0.51,0.4,0.53,0.24,0.37,0.47,0.0,0.24,0.16,0.55,0.19,0.21,0.96,0.42,0.55
mptvseries.csv,0.79,0.05,0.68,0.78,0.43,0.65,0.67,0.44,0.83,0.42,0.16,0.55,0.56,0.45,0.07,0.29,0.72
openfrag.csv,0.3,0.24,0.52,0.73,0.55,0.57,0.76,0.63,0.42,0.67,0.49,0.72,0.66,0.49,0.59,0.45,0.44
qdvdauthor.csv,0.42,0.27,0.51,0.6,0.45,0.76,0.67,0.54,0.0,0.49,0.3,0.6,0.71,0.76,0.78,0.63,0.23
qse.csv,0.63,0.52,0.68,0.78,0.58,0.65,0.76,0.57,0.79,0.61,0.67,0.48,0.53,0.42,0.45,0.68,0.52
sauerbraten.csv,0.76,0.28,0.13,0.55,0.5,0.39,0.51,0.41,0.0,0.29,0.56,0.36,0.73,0.52,0.57,0.51,0.23
toped.csv,0.51,0.52,0.57,0.51,0.34,0.67,0.83,0.55,0.63,0.4,0.66,0.64,0.7,0.69,0.61,0.56,0.38
truevision.csv,0.6,0.56,0.68,0.65,0.58,0.71,0.66,0.61,0.45,0.74,0.7,0.61,0.61,0.57,0.13,0.64,0.44
zoolib.csv,0.63,0.63,0.44,0.7,0.6,0.52,0.6,0.5,0.34,0.39,0.72,0.3,0.54,0.43,0.57,0.17,0.75
zxing.csv,0.54,0.31,0.52,0.25,0.38,0.51,0.41,0.29,0.2,0.61,0.22,0.24,0.39,0.59,0.11,0.73,0.78
