,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.76,0.43,0.81,0.55,0.74,0.94,0.5,0.88,0.55,0.64,0.82,0.38
delphilhlplib.csv,0.41,0.58,0.4,0.58,0.76,0.71,0.49,0.67,0.67,0.42,0.46,0.73
factor.csv,0.0,0.97,0.98,0.0,0.9,0.5,0.54,0.0,0.75,0.91,0.51,0.65
fceugc.csv,0.38,0.61,0.58,0.52,0.6,0.59,0.57,0.38,0.48,0.66,0.49,0.5
fltk.csv,0.55,0.54,0.49,0.53,0.73,0.81,0.42,0.68,0.43,0.51,0.5,0.49
jstock.csv,0.42,0.74,0.63,0.69,0.9,0.45,0.59,0.55,0.5,0.7,0.52,0.52
lportal.csv,0.67,0.93,0.75,0.0,0.75,0.0,0.74,0.0,0.75,0.0,0.0,0.91
natpad.csv,0.47,0.41,0.39,0.33,0.49,0.55,0.39,0.43,0.37,0.35,0.44,0.39
ogre.csv,0.51,0.55,0.53,0.46,0.41,0.45,0.55,0.33,0.49,0.4,0.66,0.49
phet.csv,0.86,0.98,0.86,0.65,0.46,0.48,0.96,0.37,0.69,0.88,0.75,0.85
sandiaportals.csv,0.52,0.46,0.51,0.52,0.72,0.97,0.39,0.91,0.42,0.47,0.49,0.41
sumatrapdf.csv,0.4,0.44,0.42,0.38,0.62,0.53,0.4,0.47,0.39,0.38,0.41,0.41
