,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.46,0.43,0.54,0.53,0.46,0.48,0.5,0.48,0.38,0.48,0.48,0.62,0.62,0.46,0.61,0.57
arcallians.csv,0.49,0.44,0.55,0.58,0.66,0.62,0.43,0.49,0.4,0.94,0.86,0.95,0.54,0.49,0.44,0.6
arianne.csv,0.48,0.42,0.42,0.52,0.5,0.48,0.55,0.48,0.37,0.46,0.38,0.39,0.61,0.49,0.44,0.44
aztec.csv,0.73,0.47,0.69,0.57,0.98,0.48,0.82,0.39,0.6,0.5,0.46,0.81,0.67,0.85,0.61,0.58
biopax.csv,0.37,0.4,0.42,0.51,0.47,0.5,0.44,0.48,0.35,0.46,0.39,0.39,0.38,0.49,0.56,0.4
bl-toolkit.csv,0.41,0.47,0.44,0.52,0.57,0.48,0.44,0.37,0.38,0.46,0.38,0.97,0.41,0.48,0.56,0.4
gnupdate.csv,0.53,0.45,0.88,0.67,0.59,0.48,0.44,0.7,0.38,0.65,0.59,0.75,0.71,0.49,0.61,0.5
les-indemodables.csv,0.42,0.44,0.46,0.5,0.45,0.41,0.4,0.5,0.68,0.37,0.44,0.34,0.39,0.54,0.52,0.53
ng4j.csv,0.73,0.57,0.59,0.56,0.77,0.56,0.75,0.42,0.42,0.59,0.54,0.33,0.76,0.49,0.69,0.64
openxava.csv,0.54,0.47,0.89,0.38,0.54,0.88,0.41,0.42,0.62,0.42,0.42,0.41,0.44,0.5,0.9,0.48
phonon-vlc-mplayer.csv,0.74,0.49,0.57,0.56,0.86,0.57,0.98,0.53,0.39,0.65,0.54,0.65,0.93,0.51,0.64,0.68
qgis.csv,0.68,0.49,0.89,0.0,0.56,0.6,0.97,0.52,0.48,0.0,0.0,0.42,0.51,0.52,0.63,0.71
rsyslog.csv,0.45,0.42,0.67,0.46,0.49,0.48,0.48,0.5,0.38,0.77,0.47,0.39,0.4,0.83,0.86,0.54
vars-redux.csv,0.43,0.39,0.39,0.43,0.45,0.47,0.43,0.35,0.44,0.41,0.4,0.34,0.4,0.47,0.64,0.49
xapian.csv,0.48,0.57,0.53,0.52,0.66,0.73,0.53,0.52,0.41,0.89,0.7,0.39,0.78,0.91,0.54,0.62
xqilla.csv,0.58,0.97,0.8,0.0,0.62,0.61,0.44,0.5,0.7,0.74,0.58,0.9,0.59,0.0,0.94,0.61
