,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.85,0.85,0.95,0.47,0.37,0.49,0.92,0.64,0.4,0.49,0.56
codesmith.csv,0.9,0.88,0.38,0.62,0.47,0.46,0.5,0.5,0.56,0.52,0.5
javaprofiler.csv,0.55,0.45,0.44,0.51,0.39,0.37,0.43,0.5,0.42,0.55,0.51
jpaul.csv,0.47,0.82,0.75,0.74,0.8,0.67,0.0,0.76,0.0,0.72,0.69
jrdf.csv,0.5,0.73,0.0,0.5,0.52,0.83,0.36,0.77,0.82,0.7,0.52
mecat.csv,0.67,0.89,0.0,0.55,0.92,0.88,0.82,0.0,0.91,0.9,0.0
neodatis-odb.csv,0.53,0.72,0.5,0.44,0.88,0.68,0.67,0.79,0.38,0.54,0.89
synecdoche.csv,0.53,0.46,0.5,0.42,0.91,0.67,0.37,0.81,0.52,0.65,0.42
tycho.csv,0.8,0.53,0.56,0.49,0.78,0.46,0.64,0.78,0.7,0.56,0.93
unicase.csv,0.43,0.42,0.55,0.42,0.36,0.38,0.36,0.44,0.4,0.41,0.46
xcmetadataservicestoolkit.csv,0.69,0.51,0.0,0.53,0.4,0.39,0.36,0.95,0.45,0.53,0.71
