,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.26,0.41,0.58,0.75,0.16,0.6,0.17,0.61,0.34,0.71,0.56
codesmith.csv,0.0,0.72,0.52,0.86,0.14,0.71,0.09,0.32,0.46,0.69,0.88
javaprofiler.csv,0.42,0.32,0.67,0.66,0.23,0.68,0.03,0.5,0.38,0.9,0.6
jpaul.csv,0.53,0.27,1.0,0.75,0.0,0.5,0.0,0.59,0.0,0.86,0.83
jrdf.csv,0.45,0.27,0.0,0.81,0.48,0.92,0.05,0.3,0.41,0.55,0.5
mecat.csv,0.67,0.44,0.0,0.84,0.15,1.0,0.27,0.0,0.55,0.9,0.0
neodatis-odb.csv,0.2,0.58,0.58,0.71,0.12,0.68,0.11,0.43,0.42,0.73,0.89
synecdoche.csv,0.32,0.3,0.6,0.74,0.64,0.93,0.04,0.27,0.65,0.56,0.61
tycho.csv,0.25,0.37,0.81,0.7,0.09,0.71,0.05,0.78,0.48,0.7,0.71
unicase.csv,0.32,0.37,0.48,0.83,0.21,0.76,0.05,0.34,0.36,0.62,0.64
xcmetadataservicestoolkit.csv,0.19,0.4,1.0,0.72,0.15,0.86,0.03,0.14,0.4,0.59,0.29
