,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.43,0.49,0.35,0.6,0.13,0.23,0.7,0.67,0.45,0.62,0.42
codesmith.csv,0.0,0.54,0.0,0.5,0.39,0.53,0.82,0.43,0.62,0.56,0.85
javaprofiler.csv,0.78,0.51,0.73,0.45,0.52,0.37,0.34,0.66,0.52,0.74,0.43
jpaul.csv,0.87,0.27,0.13,0.32,0.0,0.24,0.0,0.28,0.0,0.53,0.49
jrdf.csv,0.56,0.22,0.0,0.55,0.74,0.33,0.27,0.35,0.28,0.34,0.34
mecat.csv,0.15,0.13,0.0,0.39,0.16,0.24,0.97,0.0,0.25,0.15,0.0
neodatis-odb.csv,0.38,0.69,0.57,0.38,0.09,0.35,0.68,0.33,0.4,0.57,0.15
synecdoche.csv,0.39,0.46,0.38,0.57,0.52,0.4,0.43,0.27,0.7,0.34,0.47
tycho.csv,0.33,0.6,0.75,0.42,0.15,0.49,0.37,0.39,0.42,0.57,0.19
unicase.csv,0.61,0.49,0.43,0.73,0.35,0.59,0.41,0.41,0.39,0.13,0.53
xcmetadataservicestoolkit.csv,0.35,0.62,0.04,0.51,0.3,0.76,0.19,0.09,0.52,0.36,0.14
