,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.62,0.67,0.97,0.5,0.54,0.65,0.33,0.8,0.74,0.38,0.14,0.53,0.24,0.47,0.48,0.24,0.62
delphilhlplib.csv,0.88,0.22,0.15,0.66,0.41,0.19,0.22,0.59,0.0,0.21,0.38,0.09,0.4,0.42,0.55,0.12,0.8
exordium.csv,0.88,0.78,0.11,0.34,0.53,0.45,0.44,0.29,0.0,0.17,0.63,0.11,0.53,0.53,0.38,0.18,0.49
fltk.csv,0.67,0.33,0.26,0.32,0.6,0.23,0.22,0.43,0.49,0.08,0.05,0.19,0.16,0.32,0.76,0.41,0.51
genoviz.csv,0.29,0.89,0.04,0.05,0.38,0.1,0.11,0.16,0.02,0.04,0.05,0.15,0.09,0.11,0.31,0.0,0.11
gzigzag.csv,0.58,0.28,0.25,0.16,0.37,0.16,0.56,0.2,0.02,0.11,0.19,0.21,0.22,0.32,0.79,0.12,0.6
irrlicht.csv,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.47,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0
moast.csv,0.17,0.0,0.74,0.43,0.78,0.39,0.89,0.41,1.0,0.35,0.17,0.32,0.38,0.21,0.1,0.41,0.58
mptvseries.csv,0.46,0.0,0.27,0.27,0.17,0.26,0.22,0.29,0.34,0.04,0.05,0.09,0.15,0.37,0.0,0.0,0.49
openfrag.csv,0.92,0.94,0.37,0.57,0.58,0.19,0.56,0.45,0.02,0.14,0.29,0.26,0.33,0.26,0.72,0.29,0.84
qdvdauthor.csv,0.21,0.61,0.77,0.48,0.32,0.45,0.22,0.59,1.0,0.21,0.17,0.62,0.33,0.32,0.03,0.18,0.27
qse.csv,0.67,0.56,0.51,0.48,0.7,0.26,0.56,0.53,0.13,0.37,0.51,0.25,0.42,0.32,0.86,0.47,0.67
sauerbraten.csv,0.29,0.78,0.97,0.77,0.82,0.87,0.78,0.86,1.0,0.92,0.68,0.89,0.53,0.79,0.79,0.76,0.33
toped.csv,0.83,0.78,0.67,0.82,0.9,0.58,0.11,0.71,0.72,0.35,0.49,0.58,0.44,0.47,0.76,0.35,0.89
truevision.csv,0.75,0.5,0.61,0.73,0.45,0.39,0.56,0.63,0.02,0.32,0.43,0.38,0.47,0.58,0.97,0.18,0.84
zoolib.csv,0.71,0.56,0.12,0.43,0.56,0.06,0.22,0.27,0.0,0.15,0.23,0.06,0.35,0.42,0.79,0.0,0.4
zxing.csv,0.29,0.83,0.36,0.07,0.19,0.26,0.22,0.2,0.0,0.41,0.25,0.19,0.18,0.21,0.72,0.18,0.29
