,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.35,0.59,0.43,0.93,0.73,0.62,1.0,0.63,0.97,0.97,0.58
codesmith.csv,0.0,0.57,0.86,0.45,0.33,0.62,1.0,0.56,0.79,0.59,0.92
javaprofiler.csv,1.0,0.86,0.97,0.79,0.93,0.88,0.33,0.85,0.69,0.79,0.41
jpaul.csv,0.94,0.19,0.03,0.21,0.0,0.1,0.0,0.05,0.0,0.43,0.41
jrdf.csv,0.35,0.19,0.0,0.43,0.6,0.25,1.0,0.29,0.21,0.28,0.27
mecat.csv,0.12,0.14,0.0,0.31,0.13,0.22,1.0,0.0,0.21,0.12,0.0
neodatis-odb.csv,0.65,0.62,0.91,0.82,0.13,0.62,0.67,0.39,0.9,0.65,0.09
synecdoche.csv,0.47,0.41,0.43,0.64,0.47,0.4,0.67,0.24,0.66,0.27,0.64
tycho.csv,0.12,0.62,0.74,0.64,0.07,0.32,0.33,0.32,0.28,0.49,0.06
unicase.csv,0.59,0.95,0.31,0.77,0.93,0.85,1.0,0.68,0.72,0.77,0.59
xcmetadataservicestoolkit.csv,0.65,0.51,0.09,0.76,0.33,0.82,1.0,0.17,0.62,0.52,0.19
