,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.09,0.74,0.64,0.4,0.0,0.71,0.99,0.84,0.67,0.81,0.83
elateportal.csv,0.33,0.46,0.19,0.25,0.25,0.32,0.15,0.28,0.33,0.49,0.0
etics.csv,0.58,0.19,0.0,0.72,0.59,0.55,0.59,0.32,0.33,0.46,0.5
lockss.csv,0.01,0.09,0.07,0.04,0.06,0.0,0.02,0.04,0.17,0.16,0.17
pcgen.csv,0.01,0.17,0.1,0.01,0.49,0.26,0.07,0.28,0.33,0.3,0.0
personalaccess.csv,0.53,0.66,0.31,0.42,0.47,0.6,0.33,0.0,0.5,0.25,0.5
pydev.csv,0.3,0.14,0.05,0.48,0.15,0.48,0.61,0.32,1.0,0.0,0.5
rhex.csv,0.0,0.13,0.05,0.12,0.15,0.11,0.05,0.08,0.17,0.07,0.67
stuproa-cims.csv,0.48,1.0,0.74,0.58,0.99,0.61,0.0,0.72,0.33,0.64,0.33
uclmda.csv,0.16,0.14,0.0,0.02,0.13,0.04,0.06,0.16,0.0,0.13,0.17
wgs-assembler.csv,0.19,0.0,0.12,0.22,0.24,0.08,0.09,0.12,0.33,0.26,0.0
