,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.68,0.22,0.61,0.34,0.38,0.44,0.67,0.58,0.53,0.61,0.11,0.54,0.97,0.12,0.46,0.35,0.27
delphilhlplib.csv,0.66,0.99,0.61,0.51,0.31,0.59,0.43,0.74,0.78,0.61,0.22,0.68,0.61,0.12,0.41,0.6,0.2
exordium.csv,0.33,0.53,0.23,0.97,0.39,0.31,0.43,0.29,0.58,0.29,0.32,0.27,0.31,0.19,0.4,0.25,0.17
fltk.csv,0.78,0.39,0.93,0.53,0.42,0.69,0.72,0.53,0.79,0.35,0.26,0.65,0.48,0.98,0.54,0.25,0.24
genoviz.csv,0.43,0.49,0.21,0.33,0.17,0.1,0.21,0.08,0.47,0.19,0.11,0.16,0.11,0.0,0.3,0.04,1.0
gzigzag.csv,0.68,0.29,0.25,0.41,0.95,0.4,0.31,0.3,0.62,0.17,0.04,0.29,0.2,0.11,0.46,0.19,0.67
irrlicht.csv,0.69,0.67,0.74,0.43,0.32,0.41,0.88,0.99,0.59,0.48,0.18,0.73,0.67,0.95,0.38,0.56,0.24
moast.csv,0.09,0.16,0.17,0.4,0.38,0.09,0.71,0.17,0.74,0.1,0.15,0.4,0.14,1.0,0.16,0.07,0.13
mptvseries.csv,0.7,0.23,0.7,0.51,0.41,0.97,0.64,0.49,0.74,0.53,0.25,0.43,0.39,0.64,0.52,0.32,0.23
openfrag.csv,0.79,0.74,0.76,0.47,0.39,0.63,0.89,0.7,0.66,0.5,0.14,0.95,0.71,0.96,0.45,0.84,0.21
qse.csv,0.78,0.61,0.69,0.49,0.44,0.46,0.78,0.63,1.0,0.47,0.24,0.54,0.49,0.61,0.5,0.71,0.23
sauerbraten.csv,1.0,0.41,0.56,0.47,0.29,0.59,0.7,0.48,0.54,0.45,0.29,0.33,0.36,0.12,0.47,0.04,0.24
toped.csv,0.76,0.87,0.72,0.4,0.34,0.65,1.0,0.83,0.6,0.46,0.16,0.42,0.72,0.98,0.36,0.78,0.19
truevision.csv,0.76,0.68,0.59,0.54,0.41,0.65,0.73,0.6,0.67,0.96,0.23,0.63,0.61,0.96,0.47,0.61,0.2
uwom.csv,0.68,0.55,0.65,0.49,0.37,0.63,0.73,0.79,0.62,0.48,0.1,0.62,0.44,0.22,0.95,0.63,0.26
zoolib.csv,0.77,0.17,0.36,0.39,0.27,0.24,0.38,0.16,0.48,0.23,0.86,0.14,0.26,0.13,0.42,0.13,0.75
zxing.csv,0.59,0.42,0.63,0.42,0.41,0.6,0.74,0.73,0.09,0.49,0.13,0.53,0.64,0.79,0.56,0.97,0.37
